event_id	loci	Proximal_Site	TCGA-CV-7235-01A-11R-2016-07	TCGA-CV-6962-01A-11R-1915-07	TCGA-HD-A6I0-01A-11R-A31N-07	TCGA-CV-7255-01A-11R-2016-07	TCGA-CV-6935-01A-11R-1915-07	TCGA-CV-6939-01A-11R-1915-07	TCGA-CV-7250-01A-11R-2016-07	TCGA-CV-6936-01A-11R-1915-07	TCGA-CV-6938-01A-11R-1915-07	TCGA-CV-7440-01A-11R-2132-07	TCGA-CV-7425-01A-11R-2081-07	TCGA-CV-7177-01A-11R-2016-07	TCGA-CV-6933-01A-11R-1915-07	TCGA-CV-6955-01A-11R-2016-07	TCGA-CV-7091-01A-11R-2016-07	TCGA-CV-6960-01A-41R-2016-07	TCGA-CV-7261-01A-11R-2016-07	TCGA-CV-7432-01A-11R-2132-07	TCGA-CV-7252-01A-11R-2016-07	TCGA-CV-6934-01A-11R-1915-07	TCGA-CV-7434-01A-11R-2132-07	TCGA-CV-7183-01A-11R-2016-07	TCGA-CV-6956-01A-21R-2016-07	TCGA-HD-A6HZ-01A-12R-A31N-07	TCGA-CV-7438-01A-21R-2132-07	TCGA-CV-7103-01A-21R-2016-07	TCGA-CV-7097-01A-11R-2016-07	TCGA-CV-7101-01A-11R-2016-07	TCGA-CV-6959-01A-11R-1915-07	TCGA-CV-7437-01A-21R-2132-07	TCGA-HD-8635-01A-11R-2403-07	TCGA-CV-7424-01A-11R-2081-07	TCGA-CV-7242-01A-11R-2016-07	TCGA-CV-7406-01A-11R-2081-07	TCGA-WA-A7GZ-01A-11R-A34R-07	TCGA-H7-A6C4-01A-11R-A30B-07	TCGA-CV-7178-01A-21R-2016-07	TCGA-CV-7238-01A-11R-2016-07	TCGA-CV-7423-01A-11R-2081-07	TCGA-CV-7245-01A-11R-2016-07	TCGA-CV-6943-01A-11R-1915-07	TCGA-CV-7416-01A-11R-2081-07	TCGA-CV-6961-01A-21R-1915-07
NM_144665|SESN3|chr11|-	chr11:94898676-94906505	94906198	0.35	0.42	0.04	0.68	0.85	0.80	0.64	NA	0.51	0.60	0.70	0.61	0.54	0.76	0.59	0.38	0.45	0.60	0.46	0.72	0.64	0.53	0.61	0.65	0.65	0.43	NA	0.62	0.56	0.39	0.68	0.48	0.59	NA	0.57	NA	NA	0.53	0.61	0.49	0.75	0.71	NA
NM_033109|PNPT1|chr2|-	chr2:55861248-55863527	55863312	0.13	0.09	0.07	0.17	NA	0.39	0.25	0.34	0.20	0.21	0.28	0.23	0.13	0.26	0.19	0.13	0.09	0.14	0.18	0.35	0.22	0.25	0.21	0.20	0.35	0.12	0.31	0.18	0.18	0.14	0.23	0.11	0.28	0.26	0.08	0.22	0.26	0.15	0.26	0.16	0.24	0.20	0.15
NM_020248|CTNNBIP1|chr1|-	chr1:9908346-9910834	9910202	0.68	0.44	0.10	0.52	1.00	0.95	0.42	0.75	0.69	0.58	0.19	0.78	0.28	0.17	0.33	0.46	0.29	0.41	0.56	0.77	0.71	0.22	0.34	0.33	0.69	0.36	0.28	0.44	0.34	0.53	0.70	0.83	0.57	0.59	0.29	0.55	0.79	0.42	0.28	0.35	0.41	0.93	0.50
NM_014704|CEP104|chr1|-	chr1:3728819-3732081	3731385	0.21	0.24	0.04	0.21	0.37	0.48	0.29	0.29	0.58	0.27	NA	0.26	0.29	NA	0.30	0.18	0.43	0.28	0.35	0.34	0.26	NA	0.22	NA	0.33	0.15	0.25	0.41	0.30	0.26	0.32	0.19	0.37	0.21	0.21	NA	0.35	0.33	0.32	0.19	0.34	0.37	0.34
NM_000089|COL1A2|chr7|+	chr7:94059558-94060536	94060000	0.55	0.62	0.55	0.59	0.59	0.54	0.58	0.60	0.78	0.54	0.59	0.56	0.68	0.71	0.56	0.54	0.65	0.62	0.61	0.54	0.57	0.67	0.63	0.64	0.58	0.53	0.58	0.47	0.52	0.65	0.53	0.55	0.40	0.59	0.63	0.67	0.60	0.70	0.54	0.59	0.58	0.56	0.58
NM_014982|PCNX|chr14|+	chr14:71576511-71582092	71576862	0.18	0.15	0.06	0.28	0.30	0.41	0.27	0.29	0.36	0.23	0.27	0.28	0.20	0.25	0.23	0.17	0.20	0.28	0.26	0.37	0.23	0.33	0.24	0.28	0.27	0.20	0.40	NA	0.27	0.11	0.41	0.17	NA	0.28	0.12	0.20	0.25	0.29	0.23	0.24	0.29	0.33	0.23
NM_003300|TRAF3|chr14|+	chr14:103371549-103377847	103372049	0.41	0.44	0.10	0.51	0.55	0.53	0.59	0.41	0.27	0.38	0.52	0.52	0.46	0.56	0.49	0.38	0.33	0.26	0.35	0.31	0.40	0.50	0.35	0.52	0.47	0.53	0.44	NA	0.46	0.31	0.44	NA	0.25	0.59	0.34	0.42	0.37	0.48	0.54	0.45	0.44	0.50	0.33
NM_024093|C2orf49|chr2|+	chr2:105961771-105965217	105961921	NA	0.27	0.02	0.41	NA	0.69	0.43	0.47	0.19	0.58	0.45	NA	0.47	0.43	NA	0.40	0.40	0.40	0.31	NA	0.28	NA	0.32	0.45	0.43	NA	0.50	NA	0.51	0.18	0.41	NA	NA	NA	0.38	0.45	0.31	0.39	0.27	0.32	NA	0.54	0.27
NM_032815|NFATC2IP|chr16|+	chr16:28975025-28978408	28975943	0.42	0.23	0.43	0.47	0.81	0.81	0.58	0.74	0.63	0.48	0.66	0.73	0.36	0.70	0.49	0.39	0.47	0.56	0.51	0.85	0.61	0.65	0.68	0.48	0.83	0.45	0.54	0.43	0.49	0.44	0.53	0.60	0.78	0.51	0.35	0.79	0.54	0.55	0.66	0.60	0.52	0.62	0.38
NM_012141|INTS6|chr13|-	chr13:51936266-51939981	51939494	0.24	0.20	0.19	0.20	0.49	0.54	0.46	0.46	0.21	0.38	0.19	0.39	0.23	0.39	0.40	0.19	0.17	0.35	0.24	0.35	0.60	0.25	0.33	0.36	0.55	0.23	0.31	0.30	0.34	0.19	0.37	0.20	0.31	NA	0.26	0.46	0.28	0.24	0.23	0.22	0.42	NA	0.18
