event_id	loci	Proximal_Site	TCGA-DI-A2QU-01A-11R-A18M-07	TCGA-AX-A2HC-01A-11R-A17B-07	TCGA-E6-A1M0-01A-11R-A144-07	TCGA-AX-A2HD-01A-21R-A17B-07	TCGA-AX-A1CK-01A-11R-A137-07	TCGA-AX-A2HA-01A-12R-A18M-07	TCGA-AX-A1CI-01A-11R-A137-07	TCGA-BK-A0CB-01A-32R-A104-07	TCGA-BG-A2AD-01A-21R-A16F-07	TCGA-AX-A0J0-01A-11R-A109-07	TCGA-AJ-A3NH-01A-11R-A22K-07	TCGA-BK-A4ZD-01A-11R-A27V-07	TCGA-AX-A1CF-01A-11R-A137-07	TCGA-DI-A2QY-01A-12R-A19W-07	TCGA-AJ-A3NC-01A-11R-A22K-07	TCGA-BG-A3EW-01A-11R-A22K-07	TCGA-AJ-A3NE-01A-11R-A22K-07	TCGA-BK-A13C-01A-11R-A118-07	TCGA-AX-A2H8-01A-11R-A17B-07	TCGA-AX-A05Y-01A-11R-A00V-07	TCGA-AX-A0IZ-01A-11R-A118-07	TCGA-BG-A3PP-01A-11R-A22K-07	TCGA-AJ-A2QL-01A-11R-A18M-07
NM_003676|DEGS1|chr1|+	chr1:224380033-224381146	224380723	NA	0.20	0.33	0.25	0.31	0.80	0.80	0.16	0.22	0.18	0.39	0.34	0.15	1.00	0.58	0.36	0.33	0.22	0.59	0.21	0.55	0.40	0.44
NM_025106|SPSB1|chr1|+	chr1:9427506-9429595	9427865	0.55	NA	NA	0.48	NA	NA	NA	0.50	0.74	NA	NA	NA	0.40	0.30	NA	0.70	0.66	0.75	0.74	0.17	0.84	0.80	0.74
NM_006468|POLR3C|chr1|-	chr1:145590669-145592771	145592621	NA	0.20	0.17	0.26	0.11	0.22	0.10	0.07	0.19	0.16	0.23	0.14	0.09	0.07	0.21	0.26	0.26	0.14	0.16	0.05	0.08	0.12	0.19
NM_000491|C1QB|chr1|+	chr1:22987304-22988123	22987454	1.00	1.00	1.00	1.00	NA	NA	NA	1.00	1.00	0.99	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	0.98	NA	1.00	1.00	1.00
NM_016011|MECR|chr1|-	chr1:29519372-29520691	29520380	0.22	0.14	0.24	0.27	0.27	0.15	0.31	0.19	0.16	0.16	0.14	0.28	0.11	0.18	0.20	NA	0.24	0.21	0.18	0.21	0.22	0.20	0.09
NM_080388|S100A16|chr1|-	chr1:153579357-153580168	153579926	1.00	NA	0.67	0.88	1.00	NA	1.00	0.93	0.97	0.58	0.98	1.00	0.89	1.00	1.00	0.89	0.95	NA	NA	0.60	1.00	1.00	NA
NM_004781|VAMP3|chr1|+	chr1:7839685-7841503	7840195	NA	0.94	NA	0.95	NA	NA	NA	NA	1.00	1.00	1.00	1.00	0.96	NA	1.00	0.99	0.98	1.00	1.00	NA	NA	1.00	0.99
NM_005686|SOX13|chr1|+	chr1:204094985-204097205	204096162	1.00	0.96	0.97	0.94	1.00	NA	NA	NA	1.00	0.85	1.00	0.99	0.94	NA	0.98	NA	0.94	1.00	1.00	0.41	NA	NA	NA
NM_000157|GBA|chr1|-	chr1:155201068-155204891	155203654	0.18	0.48	0.28	0.41	0.10	0.30	0.16	0.14	0.28	0.28	0.18	0.17	0.19	0.08	0.17	0.25	0.21	0.20	0.21	0.24	0.17	0.18	0.22
NM_016037|UTP11L|chr1|+	chr1:38489216-38490478	38489444	0.31	0.32	0.17	0.37	0.30	0.36	0.19	0.15	0.53	0.20	0.28	0.19	0.36	0.14	0.23	0.27	0.23	0.34	0.42	NA	0.12	0.15	0.42
NM_001098398|COPA|chr1|-	chr1:160258783-160260006	160259228	0.62	0.36	0.70	0.35	0.71	0.66	0.72	0.66	0.44	0.44	0.57	0.48	0.30	0.80	0.64	0.48	0.53	0.54	0.41	0.21	0.70	0.68	0.52
NM_022075|CERS2|chr1|-	chr1:150937661-150938764	150938542	1.00	0.99	1.00	0.99	1.00	1.00	1.00	0.99	1.00	0.92	0.97	0.97	0.99	1.00	0.99	0.90	0.95	1.00	1.00	0.87	1.00	1.00	1.00
NM_000848|GSTM2|chr1|+	chr1:110217368-110217912	110217527	1.00	NA	NA	1.00	1.00	1.00	1.00	1.00	NA	NA	1.00	1.00	1.00	1.00	0.99	1.00	1.00	NA	0.93	1.00	NA	1.00	1.00
NM_021633|KLHL12|chr1|-	chr1:202860192-202861787	202861637	0.94	0.71	0.82	0.69	0.88	NA	NA	NA	0.84	0.76	0.95	0.93	0.54	NA	0.99	0.87	0.90	0.79	0.89	0.33	NA	0.98	0.87
NM_133467|CITED4|chr1|-	chr1:41326711-41328018	41327868	0.44	NA	0.28	0.35	0.46	NA	NA	0.64	0.33	NA	NA	0.34	0.47	NA	0.37	0.34	0.36	0.42	NA	0.37	0.48	0.40	0.42
NM_006499|LGALS8|chr1|+	chr1:236711311-236712817	236711461	NA	0.96	NA	0.77	0.82	0.87	0.83	0.77	0.84	0.78	0.91	NA	0.72	0.67	0.87	0.87	0.89	0.86	NA	NA	0.84	NA	0.84
NM_182679|GPATCH4|chr1|-	chr1:156564223-156565640	156565490	NA	1.00	1.00	0.88	1.00	NA	NA	NA	0.96	1.00	1.00	0.99	1.00	NA	1.00	1.00	1.00	NA	0.79	NA	NA	1.00	NA
NM_001029885|GLTPD1|chr1|+	chr1:1262620-1264283	1262770	0.96	0.98	NA	0.99	NA	NA	NA	1.00	0.97	0.90	1.00	NA	1.00	NA	NA	1.00	1.00	1.00	0.94	NA	0.92	0.98	NA
NM_001204088|C1orf151-NBL1|chr1|+	chr1:19983358-19984960	19983508	0.79	NA	0.87	0.60	NA	NA	NA	0.70	0.61	0.66	0.94	NA	0.69	0.97	0.95	0.87	0.91	NA	NA	0.37	0.83	1.00	0.82
NM_001020658|PUM1|chr1|-	chr1:31404339-31406189	31405970	0.76	0.44	0.75	0.34	NA	NA	NA	0.55	0.55	0.65	0.82	0.83	0.43	NA	0.87	0.59	0.73	0.57	0.75	0.10	0.84	0.90	0.71
NM_001193328|ZNF692|chr1|-	chr1:249144202-249144715	249144505	0.99	0.99	1.00	0.99	1.00	1.00	1.00	0.91	0.93	0.81	1.00	0.98	1.00	1.00	1.00	0.91	0.90	1.00	1.00	0.84	1.00	1.00	0.86
NM_032800|C1orf198|chr1|-	chr1:230972846-230975654	230975504	NA	0.90	0.79	0.93	NA	NA	NA	NA	0.89	0.79	0.93	0.89	0.86	0.53	0.97	0.94	0.94	0.88	0.92	NA	NA	0.88	0.91
NM_014663|KDM4A|chr1|+	chr1:44169900-44171195	44170736	0.82	0.43	0.86	0.43	0.96	NA	NA	0.98	0.44	0.68	0.74	0.75	0.68	0.94	0.82	0.59	0.65	0.73	0.63	NA	1.00	0.79	0.71
NM_025150|TARS2|chr1|+	chr1:150479391-150480082	150479733	0.93	0.78	0.45	0.74	0.85	0.98	1.00	1.00	0.76	0.55	0.94	0.80	0.48	0.99	0.96	0.84	0.90	0.53	0.56	1.00	1.00	0.80	0.97
NM_032409|PINK1|chr1|+	chr1:20976926-20978214	20977752	0.26	0.42	0.49	0.20	0.35	0.37	0.33	0.25	0.34	0.38	0.23	0.24	0.14	0.28	0.21	0.19	0.17	0.18	0.18	0.18	0.33	0.14	0.28
NM_024102|WDR77|chr1|-	chr1:111982840-111984011	111983629	0.51	0.50	0.69	0.41	0.61	0.75	0.89	0.54	0.55	0.66	0.62	0.53	0.43	0.71	0.72	0.60	0.66	0.58	0.53	0.33	0.72	0.37	0.54
NM_033088|FAM40A|chr1|+	chr1:110596286-110597289	110596762	0.99	0.76	0.85	0.85	1.00	NA	1.00	1.00	0.78	0.65	1.00	1.00	0.90	1.00	1.00	0.85	0.93	0.81	0.77	0.41	1.00	1.00	0.92
NM_001105556|C1orf38|chr1|+	chr1:28212377-28217692	28213166	NA	NA	NA	0.00	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NA	0.00	NA	NA	0.01	0.00	NA	0.00	0.00
NM_032315|SLC25A33|chr1|+	chr1:9642356-9644722	9642786	0.08	0.12	0.13	0.20	0.04	0.06	0.03	NA	0.19	0.18	0.08	0.10	NA	0.02	0.07	0.09	0.07	0.09	0.16	0.08	0.06	0.04	0.12
NM_022051|EGLN1|chr1|-	chr1:231499396-231502221	231502071	NA	0.75	0.63	0.71	NA	NA	NA	NA	0.78	0.73	0.88	0.83	0.55	NA	0.93	0.85	0.79	0.75	0.73	0.42	NA	0.77	0.79
NM_004872|TMEM59|chr1|-	chr1:54497344-54497978	54497736	0.83	0.57	0.64	0.54	0.81	0.94	0.94	0.79	0.51	0.61	0.80	0.65	0.57	0.95	0.67	0.64	0.68	0.70	0.68	1.00	0.85	0.42	0.62
NM_001127660|MFN2|chr1|+	chr1:12071552-12073576	12071835	1.00	0.94	1.00	0.91	NA	NA	NA	1.00	0.94	1.00	1.00	1.00	0.97	NA	NA	0.99	0.98	1.00	0.93	0.99	NA	0.99	0.95
NM_014437|SLC39A1|chr1|-	chr1:153931571-153933230	153932810	0.98	0.82	1.00	0.84	NA	1.00	NA	0.91	0.83	0.88	1.00	1.00	0.80	NA	1.00	1.00	1.00	0.92	1.00	0.65	1.00	1.00	0.92
NM_001040194|AGTRAP|chr1|+	chr1:11810133-11810829	11810490	1.00	0.84	0.95	0.98	1.00	1.00	1.00	1.00	1.00	0.87	1.00	1.00	0.95	1.00	1.00	0.94	1.00	1.00	1.00	1.00	1.00	1.00	1.00
NM_001197320|MCL1|chr1|-	chr1:150546979-150549967	150549590	NA	0.91	0.94	0.82	NA	1.00	NA	0.89	0.96	0.92	0.95	0.91	0.83	NA	0.95	0.88	0.91	0.93	1.00	0.49	1.00	0.97	0.99
NM_022664|ECM1|chr1|+	chr1:150485712-150486254	150485946	0.18	NA	NA	NA	0.24	NA	0.36	0.14	0.16	NA	NA	NA	NA	0.19	0.12	NA	0.18	NA	NA	0.07	0.20	0.23	0.26
NM_004753|DHRS3|chr1|-	chr1:12627938-12628453	12628299	0.98	0.88	0.88	0.82	1.00	1.00	1.00	1.00	0.86	0.83	0.84	0.76	0.79	1.00	0.93	0.79	0.83	0.77	1.00	0.54	1.00	0.92	0.99
NM_018994|FBXO42|chr1|-	chr1:16573325-16578280	16577149	0.16	0.21	0.21	0.18	NA	NA	NA	0.13	0.29	0.18	0.18	0.15	NA	NA	0.19	0.20	0.21	NA	0.18	NA	NA	0.18	0.18
NM_015017|USP33|chr1|-	chr1:78161667-78163159	78163009	NA	0.98	NA	0.88	NA	NA	NA	NA	0.97	0.80	0.98	0.94	0.91	NA	0.96	0.87	0.92	0.92	NA	NA	NA	NA	0.97
