event_id	loci	Proximal_Site	TCGA-CV-7235-01A-11R-2016-07	TCGA-CV-6962-01A-11R-1915-07	TCGA-HD-A6I0-01A-11R-A31N-07	TCGA-CV-7255-01A-11R-2016-07	TCGA-CV-6935-01A-11R-1915-07	TCGA-CV-6939-01A-11R-1915-07	TCGA-CV-7250-01A-11R-2016-07	TCGA-CV-6936-01A-11R-1915-07	TCGA-CV-6938-01A-11R-1915-07	TCGA-CV-7440-01A-11R-2132-07	TCGA-CV-7425-01A-11R-2081-07	TCGA-CV-7177-01A-11R-2016-07	TCGA-CV-6933-01A-11R-1915-07	TCGA-CV-6955-01A-11R-2016-07	TCGA-CV-7091-01A-11R-2016-07	TCGA-CV-6960-01A-41R-2016-07	TCGA-CV-7261-01A-11R-2016-07	TCGA-CV-7432-01A-11R-2132-07	TCGA-CV-7252-01A-11R-2016-07	TCGA-CV-6934-01A-11R-1915-07	TCGA-CV-7434-01A-11R-2132-07	TCGA-CV-7183-01A-11R-2016-07	TCGA-CV-6956-01A-21R-2016-07	TCGA-HD-A6HZ-01A-12R-A31N-07	TCGA-CV-7438-01A-21R-2132-07	TCGA-CV-7103-01A-21R-2016-07	TCGA-CV-7097-01A-11R-2016-07	TCGA-CV-7101-01A-11R-2016-07	TCGA-CV-6959-01A-11R-1915-07	TCGA-CV-7437-01A-21R-2132-07	TCGA-HD-8635-01A-11R-2403-07	TCGA-CV-7424-01A-11R-2081-07	TCGA-CV-7242-01A-11R-2016-07	TCGA-CV-7406-01A-11R-2081-07	TCGA-WA-A7GZ-01A-11R-A34R-07	TCGA-H7-A6C4-01A-11R-A30B-07	TCGA-CV-7178-01A-21R-2016-07	TCGA-CV-7238-01A-11R-2016-07	TCGA-CV-7423-01A-11R-2081-07	TCGA-CV-7245-01A-11R-2016-07	TCGA-CV-6943-01A-11R-1915-07	TCGA-CV-7416-01A-11R-2081-07	TCGA-CV-6961-01A-21R-1915-07
NM_003676|DEGS1|chr1|+	chr1:224380033-224381135	224380715	0.42	0.32	0.92	0.31	0.37	0.39	0.39	0.35	0.45	0.31	0.44	0.36	0.40	0.35	0.38	0.46	0.33	0.30	0.41	0.40	0.34	0.34	0.42	0.46	0.45	0.43	0.39	0.36	0.30	0.37	0.39	0.53	0.48	0.45	0.36	0.41	0.35	0.43	0.38	0.31	0.30	0.35	0.33
NM_024329|EFHD2|chr1|+	chr1:15755088-15756823	15755238	0.57	0.51	0.16	0.59	0.64	0.65	0.70	0.69	0.50	0.66	0.68	0.77	0.55	0.46	0.59	0.59	0.55	0.69	0.67	0.74	0.66	0.47	0.61	0.31	0.64	0.61	0.71	0.55	0.59	0.54	0.71	0.73	0.67	0.71	0.44	0.56	0.63	0.52	0.65	0.60	0.57	0.66	0.55
NM_001145210|ANKRD65|chr1|-	chr1:1353796-1354929	1354406	0.80	0.87	NA	0.97	0.79	1.00	0.92	0.83	0.94	0.88	NA	0.80	NA	0.95	0.95	0.88	NA	NA	NA	0.99	NA	NA	0.90	NA	0.92	0.91	NA	0.88	NA	0.88	NA	0.94	0.95	0.83	NA	NA	NA	0.97	NA	0.88	0.91	NA	0.82
NM_015714|G0S2|chr1|+	chr1:209848997-209849728	209849373	0.77	NA	NA	0.94	0.91	0.98	0.95	NA	0.92	0.95	NA	NA	0.90	NA	0.99	0.95	0.94	NA	0.96	0.91	NA	NA	NA	0.99	0.96	NA	0.96	0.96	0.85	NA	0.91	1.00	0.88	0.96	NA	1.00	0.91	NA	NA	0.87	NA	NA	0.83
NM_025079|ZC3H12A|chr1|+	chr1:37948337-37949983	37949388	0.82	NA	1.00	0.79	0.81	0.86	0.82	0.86	1.00	0.92	0.91	0.75	0.92	0.87	0.81	0.94	0.83	0.94	0.93	0.85	0.84	NA	0.88	0.96	0.88	NA	0.89	0.80	0.80	NA	0.86	1.00	0.92	0.84	0.96	0.99	0.84	0.95	0.77	0.82	0.82	0.83	0.84
NM_015836|WARS2|chr1|-	chr1:119573739-119575982	119575460	0.57	0.58	NA	0.51	0.43	0.65	NA	NA	0.59	0.56	0.31	0.52	0.76	NA	NA	0.70	0.53	0.62	0.63	0.51	0.57	NA	0.30	NA	0.76	0.38	0.74	0.71	0.51	0.30	NA	0.60	NA	0.39	0.66	NA	0.71	NA	NA	NA	0.53	0.61	0.68
NM_017638|MED18|chr1|+	chr1:28660927-28662482	28661478	0.67	0.80	NA	0.55	NA	0.76	0.95	0.56	0.81	0.64	0.88	0.67	0.83	0.72	0.73	0.86	0.81	0.79	0.75	0.77	0.72	0.82	0.76	0.79	0.94	0.96	0.64	0.63	0.69	NA	0.84	NA	0.79	0.82	0.63	0.69	0.56	0.84	0.70	0.76	0.73	0.64	0.67
NM_002840|PTPRF|chr1|+	chr1:44087605-44089337	44087950	0.75	0.66	0.94	0.73	0.70	0.84	0.76	0.75	0.81	0.71	0.85	0.70	0.72	0.72	0.81	0.77	0.72	0.81	0.75	0.77	0.75	0.81	0.78	0.92	0.74	0.79	0.79	0.75	0.65	0.65	0.80	0.82	0.81	0.72	0.71	0.81	0.67	0.82	0.73	0.67	0.63	0.69	0.65
NM_020141|TMEM167B|chr1|+	chr1:109637038-109639565	109637423	0.57	0.51	0.22	0.59	0.64	0.68	0.50	0.64	0.61	0.60	0.71	0.65	0.59	0.64	0.53	0.63	0.54	0.55	0.59	0.65	0.54	0.62	0.72	0.82	0.56	0.53	0.64	0.55	0.51	0.43	0.62	0.64	0.66	0.61	0.69	0.67	0.61	0.58	0.45	0.55	0.59	0.53	0.48
NM_001145278|NECAP2|chr1|+	chr1:16785336-16786575	16785804	0.81	0.82	1.00	0.80	0.77	0.89	0.89	0.86	0.89	0.76	0.77	0.86	0.89	0.83	0.90	0.90	0.81	0.82	0.86	0.98	0.82	0.82	0.86	0.91	0.87	0.87	0.81	0.85	0.77	0.83	0.82	0.97	0.90	0.83	0.89	0.99	0.88	0.87	0.78	0.85	0.81	0.77	0.83
