event_id	loci	Proximal_Site	TCGA-CZ-5458-01A-01R-1503-07	TCGA-B2-5636-01A-02R-1541-07	TCGA-CZ-5462-01A-01R-1503-07	TCGA-B0-5696-01A-11R-1541-07	TCGA-CJ-6030-01A-11R-1672-07	TCGA-CJ-5679-01A-11R-1541-07	TCGA-B0-5709-01A-11R-1541-07	TCGA-B0-5705-01A-11R-1541-07	TCGA-CZ-5985-01A-11R-1672-07	TCGA-CZ-5452-01A-01R-1503-07	TCGA-B0-5706-01A-11R-1541-07	TCGA-B0-5701-01A-11R-1541-07	TCGA-CW-5580-01A-01R-1672-07	TCGA-CJ-5680-01A-11R-1541-07	TCGA-B0-5697-01A-11R-1541-07	TCGA-B0-4700-01A-02R-1541-07	TCGA-B8-5552-01B-11R-1672-07	TCGA-CZ-5984-01A-11R-1672-07	TCGA-CZ-5461-01A-01R-1503-07	TCGA-CZ-4865-01A-02R-1503-07	TCGA-B0-4712-01A-01R-1503-07	TCGA-CZ-5463-01A-01R-1503-07	TCGA-CW-5581-01A-02R-1541-07	TCGA-CZ-5456-01A-01R-1503-07	TCGA-CW-6090-01A-11R-1672-07	TCGA-CZ-5987-01A-11R-1672-07	TCGA-CZ-5455-01A-01R-1503-07	TCGA-CZ-5989-01A-11R-1672-07	TCGA-CZ-5453-01A-01R-1503-07	TCGA-CJ-5676-01A-11R-1541-07	TCGA-CW-5585-01A-01R-1541-07	TCGA-CZ-5466-01A-01R-1503-07	TCGA-CZ-5470-01A-01R-1503-07	TCGA-B0-5694-01A-11R-1541-07	TCGA-A3-3387-01A-01R-1541-07	TCGA-CW-6087-01A-11R-1672-07	TCGA-CZ-5451-01A-01R-1503-07	TCGA-A3-3358-01A-01R-1541-07	TCGA-CJ-5678-01A-11R-1541-07	TCGA-B0-5690-01A-11R-1541-07	TCGA-B0-5691-01A-11R-1541-07	TCGA-CJ-5672-01A-11R-1541-07	TCGA-CW-5584-01A-01R-1541-07	TCGA-B8-4620-01A-02R-1325-07	TCGA-B0-5699-01A-11R-1541-07	TCGA-B8-4622-01A-02R-1277-07	TCGA-B0-5402-01A-01R-1503-07	TCGA-CZ-5457-01A-01R-1503-07	TCGA-CZ-5986-01A-11R-1672-07	TCGA-CW-5587-01A-01R-1541-07	TCGA-CZ-4864-01A-01R-1503-07	TCGA-CZ-5988-01A-11R-1672-07	TCGA-B0-5711-01A-11R-1672-07	TCGA-CJ-5689-01A-11R-1541-07	TCGA-B0-5703-01A-11R-1541-07	TCGA-B0-5712-01A-11R-1672-07	TCGA-CZ-5469-01A-01R-1503-07	TCGA-CZ-4863-01A-01R-1503-07	TCGA-B2-5641-01A-01R-1541-07	TCGA-CZ-5465-01A-01R-1503-07	TCGA-CJ-5677-01A-11R-1541-07	TCGA-CZ-5982-01A-11R-1672-07	TCGA-CW-6088-01A-11R-1672-07	TCGA-CZ-5468-01A-01R-1503-07	TCGA-CZ-5467-01A-01R-1503-07	TCGA-CZ-5454-01A-01R-1503-07	TCGA-CJ-5681-01A-11R-1541-07	TCGA-CW-5591-01A-01R-1541-07	TCGA-B8-5549-01A-01R-1541-07	TCGA-B8-4619-01A-02R-1325-07	TCGA-CW-5589-01A-01R-1541-07	TCGA-CJ-6033-01A-11R-1672-07
NM_001688|ATP5F1|chr1|+	chr1:112003538-112004076	112003768	0.51	0.53	0.62	0.56	0.64	0.70	0.54	0.55	0.53	0.50	0.51	0.61	0.60	0.60	0.57	0.77	0.60	0.64	0.56	0.59	0.70	0.52	0.49	0.53	0.62	0.67	0.58	0.92	0.57	0.77	0.61	0.50	0.71	0.73	0.56	0.59	0.56	0.57	0.64	0.62	0.49	0.70	0.56	0.52	0.56	0.55	0.56	0.62	0.49	0.55	0.57	0.51	0.56	0.58	0.70	0.65	0.77	0.55	0.53	0.58	0.72	0.65	0.57	0.66	0.58	0.52	0.57	0.62	0.49	0.50	0.60	0.70
NM_015471|NSL1|chr1|-	chr1:212910376-212912028	212911213	0.23	0.18	0.17	0.21	0.20	0.24	0.19	0.19	0.16	0.21	0.20	0.17	0.18	0.19	0.19	0.28	0.16	0.17	0.22	0.20	0.24	0.15	0.15	0.21	0.21	0.22	0.18	0.38	0.19	0.27	0.21	0.17	0.23	0.28	0.16	0.18	0.18	0.21	0.33	0.19	0.20	0.20	0.15	0.15	0.17	0.20	0.15	0.17	0.14	0.15	0.21	0.14	0.19	0.20	0.23	0.19	0.31	0.17	0.21	0.16	0.32	0.17	0.18	0.18	0.22	0.15	0.24	0.16	0.18	0.18	0.19	0.28
NM_006085|BPNT1|chr1|-	chr1:220230836-220232334	220232184	0.82	0.63	0.68	0.76	0.80	0.86	0.65	0.65	0.65	0.81	0.75	0.73	0.69	0.69	0.70	0.82	0.64	0.71	0.67	0.83	0.78	0.61	0.60	0.77	0.84	0.84	0.67	0.75	0.83	0.90	0.80	0.69	0.81	0.78	0.65	0.70	0.63	0.69	0.85	0.82	0.73	0.88	0.67	0.68	0.69	0.66	0.78	0.76	0.65	0.55	0.68	0.66	0.67	0.76	0.58	0.83	0.99	0.72	0.60	0.85	0.90	0.70	0.62	0.85	0.75	0.63	0.73	0.76	0.62	0.67	0.67	0.88
NM_000906|NPR1|chr1|+	chr1:153665827-153666468	153666140	0.93	0.94	0.95	0.98	1.00	1.00	0.98	0.96	0.93	0.97	1.00	1.00	0.95	0.96	0.97	1.00	0.98	1.00	0.94	0.98	1.00	0.78	0.94	0.90	0.95	1.00	0.94	NA	0.91	1.00	0.99	0.95	1.00	1.00	1.00	NA	0.96	1.00	1.00	0.98	0.99	0.98	0.92	0.83	0.96	0.96	0.88	0.96	0.97	0.92	0.93	0.92	0.93	1.00	1.00	1.00	0.98	0.90	0.93	0.93	1.00	0.90	0.90	0.96	0.88	0.96	1.00	0.93	0.95	0.90	0.97	1.00
NM_015014|RBM34|chr1|-	chr1:235294525-235295312	235294999	0.13	0.14	0.10	0.11	0.11	0.09	0.12	0.12	0.11	0.13	0.13	0.12	0.12	0.10	0.12	0.10	0.12	0.08	0.10	0.14	0.09	0.12	0.08	0.15	0.10	0.11	0.12	0.07	0.11	0.11	0.14	0.12	0.07	0.11	0.10	0.14	0.12	0.11	0.17	0.12	0.19	0.09	0.11	0.08	0.13	0.13	0.09	0.09	0.10	0.15	0.15	0.07	0.10	0.10	0.11	0.14	0.08	0.10	0.10	0.10	0.09	0.10	0.13	0.09	0.12	0.11	0.15	0.15	0.12	0.06	0.11	0.10
NM_015074|KIF1B|chr1|+	chr1:10436602-10442967	10437072	0.95	0.91	0.91	NA	NA	NA	NA	0.93	0.83	NA	NA	NA	0.89	0.92	0.93	NA	0.93	0.89	0.92	NA	NA	0.81	0.84	0.84	NA	NA	0.83	0.73	0.92	NA	0.92	NA	NA	NA	0.89	0.86	0.97	0.91	NA	NA	0.82	NA	0.93	0.90	0.94	0.88	0.85	0.95	0.72	0.90	0.90	0.86	0.90	NA	NA	0.93	NA	0.90	0.88	0.88	NA	0.82	0.77	NA	0.90	0.92	0.90	0.90	0.83	0.85	0.93	NA
NM_007324|ZFYVE9|chr1|+	chr1:52811731-52813786	52812248	0.09	0.12	0.10	0.12	0.08	0.08	0.15	0.10	0.22	0.13	0.09	0.09	0.14	0.19	0.16	0.08	0.14	0.10	0.10	0.07	0.06	0.19	0.08	NA	0.19	0.15	0.15	NA	0.13	0.07	0.08	0.14	0.08	0.12	NA	NA	0.10	NA	0.13	0.15	0.16	0.06	0.10	0.12	0.12	0.10	0.09	0.07	0.14	0.09	0.28	0.14	0.16	0.07	0.10	0.12	0.19	NA	0.14	0.19	0.08	0.11	0.15	0.09	0.13	NA	0.07	0.15	0.08	NA	0.13	0.08
NM_024595|AKIRIN1|chr1|+	chr1:39469716-39471834	39470650	0.85	0.73	0.74	0.93	0.89	0.86	0.69	0.78	0.66	0.95	0.81	0.72	0.70	0.79	0.82	0.90	0.69	0.79	0.73	0.93	0.90	0.65	0.71	0.74	0.95	0.86	0.70	0.68	0.81	0.98	0.89	0.82	0.96	0.83	0.70	0.72	0.80	0.73	1.00	0.84	0.72	0.85	0.77	0.69	0.74	0.74	0.67	0.87	0.66	0.64	0.72	0.75	0.71	0.80	0.92	0.84	NA	0.70	0.71	0.82	0.90	0.71	0.70	0.93	0.82	0.85	0.76	0.82	0.61	0.65	0.78	0.94
NM_006271|S100A1|chr1|+	chr1:153604173-153604720	153604323	0.12	0.17	0.11	0.14	0.14	0.13	0.18	0.20	0.12	0.13	0.21	0.16	0.12	0.15	0.13	0.17	0.12	0.13	0.15	0.10	0.17	0.22	0.16	0.22	NA	0.14	0.11	0.13	NA	0.23	0.40	0.15	0.15	0.16	0.15	0.13	0.21	0.17	0.17	0.11	0.28	0.18	0.19	NA	0.19	0.15	0.15	NA	0.23	0.15	0.17	0.13	0.12	0.16	0.41	0.13	0.16	0.12	0.15	0.15	0.15	0.14	0.15	0.18	0.14	0.11	0.16	0.16	0.14	0.21	0.14	0.13
NM_003036|SKI|chr1|+	chr1:2238015-2250652	2241561	0.01	0.01	NA	0.02	0.02	NA	0.00	0.00	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.00	0.02	NA	0.01	0.01	0.02	NA	NA	0.01	NA	0.01	0.02	0.01	0.01	NA	0.02	0.01	0.00	0.01	0.01	NA	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	NA	NA	0.01	0.01	NA	0.01	0.01	0.01	0.02	NA	0.00	0.01	0.02	0.02	0.01	0.01	0.03	0.01	NA	0.01	0.00	0.00	NA	0.01	0.02
