event_id	loci	Proximal_Site	TCGA-DI-A2QU-01A-11R-A18M-07	TCGA-AX-A2HC-01A-11R-A17B-07	TCGA-E6-A1M0-01A-11R-A144-07	TCGA-AX-A2HD-01A-21R-A17B-07	TCGA-AX-A1CK-01A-11R-A137-07	TCGA-AX-A2HA-01A-12R-A18M-07	TCGA-AX-A1CI-01A-11R-A137-07	TCGA-BK-A0CB-01A-32R-A104-07	TCGA-BG-A2AD-01A-21R-A16F-07	TCGA-AX-A0J0-01A-11R-A109-07	TCGA-AJ-A3NH-01A-11R-A22K-07	TCGA-BK-A4ZD-01A-11R-A27V-07	TCGA-AX-A1CF-01A-11R-A137-07	TCGA-DI-A2QY-01A-12R-A19W-07	TCGA-AJ-A3NC-01A-11R-A22K-07	TCGA-BG-A3EW-01A-11R-A22K-07	TCGA-AJ-A3NE-01A-11R-A22K-07	TCGA-BK-A13C-01A-11R-A118-07	TCGA-AX-A2H8-01A-11R-A17B-07	TCGA-AX-A05Y-01A-11R-A00V-07	TCGA-AX-A0IZ-01A-11R-A118-07	TCGA-BG-A3PP-01A-11R-A22K-07	TCGA-AJ-A2QL-01A-11R-A18M-07
NM_015045|WAPAL|chr10|-	chr10:88195005-88197365	88196822	0.41	0.54	0.66	0.42	0.31	0.40	0.56	0.29	0.41	0.42	0.62	0.69	0.28	0.29	0.67	0.50	0.62	0.61	0.54	NA	0.46	0.39	0.60
NM_206831|DPH3|chr3|-	chr3:16299471-16302336	16301948	0.31	0.75	NA	0.61	NA	0.29	NA	NA	0.44	0.52	0.38	0.24	NA	0.12	0.48	0.60	0.30	NA	NA	NA	NA	0.26	0.56
NM_014630|ZNF592|chr15|+	chr15:85345093-85349169	85346475	0.07	NA	0.29	0.21	NA	NA	0.25	0.10	0.30	0.15	0.21	0.30	0.16	0.05	0.24	0.25	0.25	0.40	NA	0.12	0.10	0.13	NA
NM_016141|DYNC1LI1|chr3|-	chr3:32567476-32568400	32568250	0.47	0.44	0.41	0.47	0.22	0.34	0.40	0.24	0.49	0.55	0.73	0.60	0.38	0.45	0.63	0.51	0.59	0.53	0.38	0.29	0.48	0.40	0.47
NM_006275|SRSF6|chr20|+	chr20:42089342-42092265	42089926	0.13	0.34	0.33	0.17	0.19	0.30	0.22	0.11	0.24	0.33	0.24	0.21	0.25	0.20	0.31	0.24	0.30	0.27	0.21	0.10	0.17	0.20	0.22
NM_001013649|C2orf68|chr2|-	chr2:85832299-85836190	85835437	0.26	0.34	0.38	0.54	0.42	NA	0.46	0.39	0.31	0.22	0.23	0.28	0.15	0.21	0.35	0.26	0.32	0.31	0.35	0.20	0.34	0.31	0.31
NM_006201|CDK16|chrX|+	chrX:47088129-47089366	47088350	0.13	0.33	0.34	0.39	0.14	0.50	0.16	0.15	0.33	0.24	0.49	0.34	0.12	0.13	0.45	0.36	0.52	0.32	0.30	0.12	0.26	0.37	0.31
NM_002634|PHB|chr17|-	chr17:47481409-47482566	47482246	0.14	0.22	0.20	0.26	0.12	0.20	0.17	0.21	0.29	0.17	0.19	0.20	0.14	0.12	0.23	0.28	0.27	0.22	0.26	0.13	0.21	0.18	0.22
NM_006313|USP15|chr12|+	chr12:62797972-62799887	62798320	NA	NA	0.15	0.21	0.15	0.16	0.31	NA	0.27	0.14	NA	0.20	0.16	0.13	0.19	0.18	0.17	NA	NA	NA	0.11	0.12	0.16
NM_020248|CTNNBIP1|chr1|-	chr1:9908326-9910834	9910684	0.37	0.80	0.70	0.40	0.34	0.65	0.71	0.45	0.45	0.29	0.70	0.66	0.53	0.38	0.68	0.57	0.59	0.93	0.42	0.27	0.54	0.56	0.80
NM_012164|FBXW2|chr9|-	chr9:123519317-123527125	123526797	NA	0.57	0.38	0.33	0.25	0.24	NA	0.18	0.42	0.31	0.28	0.33	0.29	0.16	0.39	0.36	0.31	0.36	NA	0.10	0.22	0.19	0.29
NM_003681|PDXK|chr21|+	chr21:45175831-45182193	45176019	0.19	0.41	0.09	0.21	0.05	0.08	0.11	0.05	0.46	0.26	0.10	0.18	0.06	0.03	0.23	0.16	0.10	0.21	0.26	0.03	0.05	0.10	0.10
NM_001098517|CADM1|chr11|-	chr11:115044345-115047312	115047140	NA	0.69	0.54	0.62	0.06	0.37	0.11	0.08	0.55	0.61	0.45	0.66	NA	0.16	0.62	0.56	0.67	0.59	0.66	0.14	0.13	0.31	0.42
NM_007045|FGFR1OP|chr6|+	chr6:167453391-167455871	167453792	0.25	0.41	NA	0.32	0.33	0.24	0.46	NA	0.31	0.23	0.33	0.38	NA	0.13	0.26	0.28	0.36	0.57	NA	NA	0.19	0.09	0.22
NM_000089|COL1A2|chr7|+	chr7:94059558-94060539	94059954	0.36	0.45	0.38	0.46	0.25	0.52	0.34	0.29	0.53	0.36	0.59	0.44	0.54	0.43	0.61	0.65	0.58	0.25	0.44	0.09	0.46	0.65	0.28
NM_014298|QPRT|chr16|+	chr16:29708519-29710025	29708902	0.44	NA	0.64	NA	NA	0.31	0.62	0.46	0.46	0.48	0.69	0.57	0.24	0.52	0.75	0.55	NA	NA	0.35	0.35	0.54	0.37	0.41
NR_028104|DCAF8|chr1|-	chr1:160185496-160187498	160186575	0.46	0.90	0.74	0.52	0.43	0.67	0.55	0.46	0.69	0.58	0.75	0.59	0.44	0.42	0.63	0.58	0.68	0.58	0.55	0.56	0.33	0.51	0.67
NM_014982|PCNX|chr14|+	chr14:71576511-71582091	71576855	0.11	0.37	0.11	0.19	0.08	0.11	0.13	0.10	NA	0.12	0.16	NA	0.11	0.06	0.25	0.25	0.31	NA	NA	0.03	NA	0.15	0.28
NM_005105|RBM8A|chr1|+	chr1:145509165-145513535	145509336	0.11	0.26	0.13	0.21	0.08	0.12	0.13	0.11	0.22	0.13	0.24	0.18	0.09	0.06	0.24	0.23	0.19	0.28	0.15	0.09	0.11	0.08	0.14
NM_013411|AK2|chr1|-	chr1:33473629-33476434	33475556	0.51	0.41	0.34	0.37	NA	NA	NA	NA	0.47	0.31	0.37	0.39	0.33	NA	0.47	0.38	0.39	0.34	0.36	0.15	0.55	0.28	0.76
NM_016275|SELT|chr3|+	chr3:150345445-150348220	150346116	0.13	0.23	0.12	0.10	0.10	0.21	0.23	0.19	0.20	0.19	0.11	0.21	0.10	0.09	0.21	0.18	0.15	0.31	0.13	0.09	0.12	0.16	0.19
NM_006191|PA2G4|chr12|+	chr12:56506606-56507685	56506875	0.21	0.44	0.33	0.26	0.09	0.14	0.15	0.15	0.33	0.25	0.44	0.25	0.22	0.19	0.26	0.29	0.27	0.26	0.41	0.10	0.18	0.17	0.26
NM_058243|BRD4|chr19|-	chr19:15346355-15349256	15347686	0.07	0.76	0.18	0.14	0.08	0.24	0.21	0.19	0.22	0.12	0.26	0.24	0.12	NA	0.15	0.14	0.18	0.27	0.27	0.14	0.18	0.13	0.26
NM_006888|CALM1|chr14|+	chr14:90871032-90874613	90871894	0.07	0.30	0.18	0.29	0.08	0.11	0.09	0.19	0.25	0.15	0.26	0.17	0.15	0.05	0.21	0.26	0.29	0.35	0.15	0.23	0.06	0.17	0.09
NM_001122681|SH3BP2|chr4|+	chr4:2835423-2842777	2835969	0.06	NA	0.13	0.31	0.06	0.09	0.07	0.07	0.36	0.21	0.15	0.23	0.18	0.05	0.16	0.15	0.18	0.16	0.25	0.04	0.06	0.12	0.16
NM_001100595|SKA2|chr17|-	chr17:57187310-57189706	57189468	0.40	0.77	0.49	0.72	0.43	0.50	0.33	NA	0.68	0.42	0.60	0.43	0.59	0.21	0.43	0.48	0.33	0.69	NA	NA	0.43	0.29	0.65
NM_176812|CHMP4B|chr20|+	chr20:32441301-32442160	32441459	0.51	0.48	0.37	0.43	0.46	0.53	0.55	0.39	0.43	0.31	0.28	0.34	0.39	0.39	0.31	0.26	0.32	0.45	0.54	0.38	0.40	0.31	0.78
NM_139062|CSNK1D|chr17|-	chr17:80200531-80202707	80202400	0.53	0.67	0.93	0.61	0.63	0.46	0.74	0.76	0.72	0.75	0.81	0.80	0.51	0.46	0.79	0.74	0.66	0.90	0.70	0.77	0.38	0.70	0.54
NM_003470|USP7|chr16|-	chr16:8985963-8987961	8986715	0.07	0.11	0.08	0.05	0.16	0.11	0.14	0.16	0.08	0.08	0.14	0.12	0.07	0.20	0.15	0.09	0.13	0.14	0.08	0.08	0.11	0.13	0.12
NM_002815|PSMD11|chr17|+	chr17:30807770-30809854	30807966	0.69	0.90	0.75	0.69	0.49	0.49	0.56	0.64	0.78	0.39	0.75	0.43	0.63	0.25	0.42	0.64	0.54	0.75	0.83	NA	0.52	0.27	0.72
NM_018091|ELP3|chr8|+	chr8:28047165-28048678	28047590	0.52	0.79	0.42	0.43	0.19	0.44	0.41	0.43	0.60	0.58	0.54	0.50	0.40	0.37	0.45	0.51	0.51	0.52	0.85	0.48	0.33	0.40	0.55
NM_145333|MAP3K7|chr6|-	chr6:91223289-91226400	91225525	0.28	0.44	0.47	0.17	NA	NA	NA	NA	0.34	0.30	0.32	0.33	NA	0.49	0.37	0.30	0.36	NA	0.26	NA	NA	0.22	0.31
NM_007275|TUSC2|chr3|-	chr3:50362335-50363617	50363467	0.38	0.76	0.50	0.54	0.16	0.37	0.31	0.35	0.54	0.40	0.55	0.62	0.33	0.28	0.59	0.56	0.51	0.56	0.44	0.24	0.43	0.40	0.51
NM_022731|NUCKS1|chr1|-	chr1:205682279-205687607	205687269	0.34	0.81	0.39	0.77	0.15	0.19	0.07	0.28	0.83	0.30	0.32	0.48	0.57	0.06	0.41	0.50	0.47	0.77	0.63	0.54	0.13	0.21	0.71
NM_017994|C7orf42|chr7|+	chr7:66420488-66423555	66421045	0.25	0.72	0.47	0.30	0.15	0.29	0.25	0.37	0.34	0.30	0.45	0.53	0.29	0.20	0.51	0.49	0.47	0.49	0.47	0.26	0.31	0.49	0.35
NM_015446|AHCTF1|chr1|-	chr1:247002413-247004300	247004089	NA	0.43	0.28	0.33	0.28	0.38	0.36	0.26	0.37	0.26	0.30	0.32	0.25	0.33	0.31	0.25	0.33	0.43	0.28	NA	0.25	0.32	0.42
NM_152902|TIPRL|chr1|+	chr1:168169140-168171354	168169339	0.09	0.77	0.39	0.32	0.13	0.29	0.33	0.20	0.40	0.30	0.33	0.31	0.23	0.09	0.22	0.39	0.23	0.44	0.22	0.20	0.18	0.19	0.33
NM_000629|IFNAR1|chr21|+	chr21:34727621-34734283	34728304	0.25	0.66	0.32	0.64	0.16	0.26	0.20	0.29	0.53	0.38	0.21	0.21	0.28	0.09	0.45	0.42	0.33	0.49	0.37	NA	0.22	0.17	0.27
NM_002721|PPP6C|chr9|-	chr9:127908910-127912200	127911436	0.16	0.33	0.14	0.20	0.14	0.13	0.19	0.16	0.20	0.21	0.19	0.25	0.22	0.18	0.19	0.17	0.20	0.32	0.14	0.12	0.10	0.15	0.15
NM_005262|GFER|chr16|+	chr16:2035866-2037715	2036083	0.18	0.48	0.36	0.40	0.10	0.25	0.08	0.21	0.54	0.56	0.84	0.52	0.31	0.22	0.31	0.39	0.35	0.33	0.49	0.31	0.11	0.37	0.43
NM_001080415|U2SURP|chr3|+	chr3:142775153-142779314	142775630	0.12	0.28	0.21	0.25	0.13	0.16	0.20	0.19	0.26	0.15	0.12	0.22	0.24	0.09	0.22	0.19	0.25	0.28	0.19	NA	0.16	0.10	0.18
NM_153029|N4BP1|chr16|-	chr16:48572631-48577172	48576649	NA	NA	0.15	0.39	NA	0.15	NA	NA	0.48	0.22	0.19	0.28	0.25	0.11	0.34	0.35	0.28	NA	0.31	NA	0.17	0.28	0.20
NM_030821|PLA2G12A|chr4|-	chr4:110631126-110635651	110635194	0.22	NA	0.22	0.28	0.21	NA	0.23	0.23	0.48	0.19	0.26	0.38	0.40	0.12	0.24	0.37	0.30	0.51	0.24	0.18	0.18	0.23	0.35
NM_001006617|MAPKAP1|chr9|-	chr9:128199681-128201291	128200816	0.24	0.88	0.56	0.48	0.22	0.33	0.55	0.60	0.69	0.30	0.42	0.43	0.32	0.23	0.37	0.41	0.42	0.52	0.45	0.64	0.40	0.28	0.68
NM_017489|TERF1|chr8|+	chr8:73958195-73959984	73958628	NA	0.66	0.45	0.67	0.41	NA	NA	0.48	0.66	0.35	0.43	0.49	NA	0.33	0.54	0.44	0.48	NA	0.51	NA	0.48	0.44	0.88
NM_001145547|RBM17|chr10|+	chr10:6157415-6158771	6157635	0.24	0.40	0.24	0.21	0.07	0.09	0.29	0.13	0.19	0.11	0.15	0.13	0.10	0.10	0.15	0.16	0.16	0.21	0.15	0.08	0.10	0.07	0.22
NM_021928|SPCS3|chr4|+	chr4:177249348-177253542	177249498	0.49	0.63	0.53	0.53	0.28	0.67	0.43	0.35	0.62	0.49	0.73	0.67	0.38	0.36	0.72	0.71	0.68	0.57	0.67	0.15	0.40	0.36	0.61
NM_005766|FARP1|chr13|+	chr13:99100489-99102022	99100639	0.72	0.58	0.36	0.39	0.50	0.45	0.44	0.43	0.55	0.36	0.61	0.52	0.44	0.32	0.48	0.49	0.61	0.43	0.34	0.19	0.45	0.32	0.38
NM_006802|SF3A3|chr1|-	chr1:38422644-38423935	38423700	0.34	0.71	0.50	0.50	0.63	0.61	0.67	0.60	0.68	0.47	0.51	0.37	0.42	0.27	0.45	0.43	0.45	0.70	0.39	0.47	0.70	0.24	0.55
NM_000232|SGCB|chr4|-	chr4:52886871-52890326	52890075	0.30	0.41	0.22	0.43	0.14	0.44	0.39	0.20	0.54	0.27	0.25	0.49	0.24	0.20	0.52	0.39	0.45	0.53	0.31	0.16	0.28	0.24	0.34
NM_015704|PPPDE2|chr22|-	chr22:41995044-41997194	41996952	0.13	0.58	0.30	0.31	0.04	0.05	0.05	0.10	0.22	0.35	0.23	0.19	0.24	0.04	0.12	0.34	0.19	0.23	0.21	NA	0.04	0.10	0.20
NM_001196|BID|chr22|-	chr22:18215649-18218357	18218191	0.29	0.28	0.17	0.18	NA	0.22	NA	0.23	0.23	0.24	0.29	NA	0.11	0.26	0.34	0.25	0.23	NA	0.34	0.11	0.22	0.13	0.23
NM_003601|SMARCA5|chr4|+	chr4:144474271-144475530	144474505	0.26	0.40	0.25	0.23	0.21	0.27	0.29	0.15	0.38	0.22	0.31	0.29	0.14	0.27	0.36	0.33	0.36	0.40	0.41	0.08	0.28	0.26	0.37
NM_001126|ADSS|chr1|-	chr1:244571799-244572940	244572294	0.89	0.44	0.46	0.43	0.95	0.83	1.00	0.55	0.46	0.46	0.52	0.42	NA	1.00	0.65	0.49	0.49	0.53	0.48	NA	1.00	0.56	0.72
NM_001142650|HNRPLL|chr2|-	chr2:38789122-38791379	38791225	0.25	0.24	0.11	0.13	0.09	0.13	0.13	0.10	0.23	0.28	0.22	0.16	0.07	0.14	0.21	0.17	0.21	0.24	0.15	NA	0.13	0.11	0.15
NM_152734|C6orf89|chr6|+	chr6:36891122-36896758	36892289	0.25	0.87	NA	0.45	0.18	NA	NA	0.28	0.48	0.42	0.45	0.58	0.42	0.21	0.44	0.60	0.53	0.61	0.33	0.40	NA	0.27	0.40
NM_032870|PNISR|chr6|-	chr6:99846225-99849506	99848419	0.40	NA	0.30	0.32	0.45	NA	0.67	0.35	0.39	0.27	0.35	0.27	NA	0.75	0.43	0.31	0.31	0.58	0.43	NA	0.58	0.30	0.62
