event_id	loci	Proximal_Site	TCGA-CZ-5458-01A-01R-1503-07	TCGA-B2-5636-01A-02R-1541-07	TCGA-CZ-5462-01A-01R-1503-07	TCGA-B0-5696-01A-11R-1541-07	TCGA-CJ-6030-01A-11R-1672-07	TCGA-CJ-5679-01A-11R-1541-07	TCGA-B0-5709-01A-11R-1541-07	TCGA-B0-5705-01A-11R-1541-07	TCGA-CZ-5985-01A-11R-1672-07	TCGA-CZ-5452-01A-01R-1503-07	TCGA-B0-5706-01A-11R-1541-07	TCGA-B0-5701-01A-11R-1541-07	TCGA-CW-5580-01A-01R-1672-07	TCGA-CJ-5680-01A-11R-1541-07	TCGA-B0-5697-01A-11R-1541-07	TCGA-B0-4700-01A-02R-1541-07	TCGA-B8-5552-01B-11R-1672-07	TCGA-CZ-5984-01A-11R-1672-07	TCGA-CZ-5461-01A-01R-1503-07	TCGA-CZ-4865-01A-02R-1503-07	TCGA-B0-4712-01A-01R-1503-07	TCGA-CZ-5463-01A-01R-1503-07	TCGA-CW-5581-01A-02R-1541-07	TCGA-CZ-5456-01A-01R-1503-07	TCGA-CW-6090-01A-11R-1672-07	TCGA-CZ-5987-01A-11R-1672-07	TCGA-CZ-5455-01A-01R-1503-07	TCGA-CZ-5989-01A-11R-1672-07	TCGA-CZ-5453-01A-01R-1503-07	TCGA-CJ-5676-01A-11R-1541-07	TCGA-CW-5585-01A-01R-1541-07	TCGA-CZ-5466-01A-01R-1503-07	TCGA-CZ-5470-01A-01R-1503-07	TCGA-B0-5694-01A-11R-1541-07	TCGA-A3-3387-01A-01R-1541-07	TCGA-CW-6087-01A-11R-1672-07	TCGA-CZ-5451-01A-01R-1503-07	TCGA-A3-3358-01A-01R-1541-07	TCGA-CJ-5678-01A-11R-1541-07	TCGA-B0-5690-01A-11R-1541-07	TCGA-B0-5691-01A-11R-1541-07	TCGA-CJ-5672-01A-11R-1541-07	TCGA-CW-5584-01A-01R-1541-07	TCGA-B8-4620-01A-02R-1325-07	TCGA-B0-5699-01A-11R-1541-07	TCGA-B8-4622-01A-02R-1277-07	TCGA-B0-5402-01A-01R-1503-07	TCGA-CZ-5457-01A-01R-1503-07	TCGA-CZ-5986-01A-11R-1672-07	TCGA-CW-5587-01A-01R-1541-07	TCGA-CZ-4864-01A-01R-1503-07	TCGA-CZ-5988-01A-11R-1672-07	TCGA-B0-5711-01A-11R-1672-07	TCGA-CJ-5689-01A-11R-1541-07	TCGA-B0-5703-01A-11R-1541-07	TCGA-B0-5712-01A-11R-1672-07	TCGA-CZ-5469-01A-01R-1503-07	TCGA-CZ-4863-01A-01R-1503-07	TCGA-B2-5641-01A-01R-1541-07	TCGA-CZ-5465-01A-01R-1503-07	TCGA-CJ-5677-01A-11R-1541-07	TCGA-CZ-5982-01A-11R-1672-07	TCGA-CW-6088-01A-11R-1672-07	TCGA-CZ-5468-01A-01R-1503-07	TCGA-CZ-5467-01A-01R-1503-07	TCGA-CZ-5454-01A-01R-1503-07	TCGA-CJ-5681-01A-11R-1541-07	TCGA-CW-5591-01A-01R-1541-07	TCGA-B8-5549-01A-01R-1541-07	TCGA-B8-4619-01A-02R-1325-07	TCGA-CW-5589-01A-01R-1541-07	TCGA-CJ-6033-01A-11R-1672-07
NM_178314|RILPL1|chr12|-	chr12:123954483-123957229	123956781	0.28	0.19	0.20	0.16	0.15	0.13	0.21	0.20	0.18	0.18	0.17	0.13	0.17	0.12	0.18	0.11	0.20	0.18	0.15	0.17	0.11	0.29	0.16	0.14	0.18	0.13	0.28	NA	0.19	0.12	0.22	0.12	0.15	0.13	0.21	0.24	0.23	0.16	0.10	0.19	0.31	0.12	0.17	0.14	0.22	0.14	NA	0.21	0.24	0.18	NA	0.17	0.19	0.14	0.14	0.30	0.09	0.23	0.14	0.21	0.10	0.24	0.27	0.11	0.20	NA	0.30	0.26	0.18	0.24	0.21	0.12
NM_003681|PDXK|chr21|+	chr21:45175831-45182191	45175999	0.30	0.49	0.33	0.15	0.15	0.17	0.27	0.35	0.38	0.16	0.17	0.16	0.55	0.39	0.26	0.11	0.46	0.28	0.33	0.20	0.11	0.53	0.46	0.35	0.31	0.20	0.35	NA	0.25	0.15	0.30	0.25	0.13	0.26	0.39	0.28	0.29	0.37	0.07	0.37	0.48	0.20	0.47	0.36	0.43	0.46	0.30	0.31	0.45	0.32	0.47	0.38	0.41	0.16	0.30	0.28	0.08	0.36	0.47	0.42	0.17	0.38	0.53	0.27	0.36	0.18	0.40	0.48	0.29	0.42	0.41	0.13
NM_000089|COL1A2|chr7|+	chr7:94059558-94060521	94059940	0.34	0.43	0.44	0.50	0.53	0.32	0.38	0.30	0.49	0.45	0.40	0.34	0.43	0.43	0.28	0.53	0.42	0.32	0.42	0.56	0.58	0.53	0.32	0.45	0.75	0.52	0.50	0.86	0.51	0.44	0.44	0.41	0.45	0.46	0.53	0.56	0.35	0.40	0.35	0.47	0.25	0.40	0.56	0.37	0.39	0.46	0.46	0.49	0.45	0.32	0.39	0.56	0.56	0.51	0.55	0.58	0.57	0.55	0.56	0.53	0.46	0.51	0.45	0.41	0.47	0.60	0.57	0.42	0.49	0.45	0.47	0.57
NM_016329|SFMBT1|chr3|-	chr3:52933230-52939292	52938795	0.39	NA	0.47	NA	0.27	0.26	0.38	0.41	NA	NA	NA	NA	0.41	0.40	0.27	0.17	NA	NA	NA	0.24	0.13	0.45	0.36	NA	NA	0.32	0.35	NA	NA	NA	NA	NA	0.16	NA	NA	0.28	0.39	NA	0.15	NA	0.45	0.19	NA	NA	0.37	0.40	NA	0.32	0.47	NA	0.40	NA	0.43	0.28	0.30	0.35	NA	NA	0.31	NA	0.17	0.32	0.47	0.20	NA	NA	NA	0.48	0.34	0.44	0.36	NA
NM_013411|AK2|chr1|-	chr1:33473626-33476434	33474554	0.16	0.16	0.19	0.22	0.24	0.26	0.16	0.15	0.15	0.22	0.12	0.17	0.19	0.25	0.28	0.34	0.21	0.19	0.13	0.24	0.26	0.12	0.16	0.12	0.22	0.20	0.16	0.12	0.18	0.27	0.19	0.25	0.32	0.26	0.26	0.19	0.21	0.20	0.34	0.23	0.12	0.25	0.19	0.21	0.27	0.22	0.12	0.14	0.10	0.20	0.15	0.11	0.15	0.25	0.28	0.15	0.30	0.16	0.13	0.18	0.45	0.15	0.15	0.26	0.16	0.16	0.19	0.15	0.16	0.15	0.17	0.36
NM_002141|HOXA4|chr7|-	chr7:27167561-27169190	27168210	0.19	0.13	0.35	0.27	0.10	0.20	0.19	0.27	0.46	0.65	0.08	0.32	0.35	0.39	0.44	0.50	0.22	0.54	0.19	0.46	0.47	0.29	0.16	0.25	0.17	0.53	0.18	NA	0.21	0.46	0.24	0.22	0.84	0.24	0.13	NA	0.12	0.34	0.73	0.31	0.30	0.48	0.25	0.26	0.42	0.31	0.22	0.37	0.41	0.24	0.26	NA	0.15	0.23	0.21	NA	0.83	0.22	0.15	0.44	0.71	0.30	0.14	0.47	0.19	0.11	0.41	NA	0.23	NA	0.23	0.22
NM_001076684|UBTF|chr17|-	chr17:42282440-42284735	42284046	0.34	0.33	0.57	0.44	0.37	0.51	0.46	0.43	0.58	0.40	0.28	0.23	0.54	0.44	0.41	0.36	0.56	0.69	0.40	0.44	0.31	0.73	0.35	0.35	0.39	0.48	0.66	1.00	0.34	0.30	0.40	0.36	0.39	0.31	0.41	0.63	0.33	0.35	0.32	0.41	0.37	0.32	0.37	0.33	0.38	0.41	0.28	0.37	0.69	0.46	0.60	0.47	0.58	0.30	0.39	0.45	0.26	0.54	0.39	0.48	0.27	0.48	0.67	0.60	0.42	0.31	0.44	0.59	0.46	0.47	0.44	0.35
NM_006191|PA2G4|chr12|+	chr12:56506606-56507670	56506861	0.47	0.49	0.46	0.37	0.40	0.20	0.41	0.41	0.49	0.37	0.32	0.30	0.53	0.48	0.46	0.27	0.49	0.42	0.45	0.41	0.22	0.57	0.39	0.30	0.55	0.38	0.53	1.00	0.42	0.26	0.38	0.34	0.34	0.37	0.45	0.46	0.38	0.37	0.29	0.43	0.39	0.28	0.45	0.43	0.46	0.48	0.38	0.38	0.40	0.33	0.47	0.40	0.55	0.37	0.22	0.65	0.26	0.50	0.37	0.42	0.24	0.41	0.48	0.29	0.48	0.53	0.26	0.44	0.38	0.49	0.45	0.38
NM_030962|SBF2|chr11|-	chr11:9800212-9802063	9800875	0.68	0.35	0.52	0.65	0.79	0.75	0.33	0.39	0.36	0.78	0.52	0.68	0.44	0.59	0.57	0.81	0.33	0.44	0.47	0.86	NA	0.54	0.40	0.42	0.81	0.81	0.52	1.00	0.67	0.96	0.55	0.27	0.84	0.82	0.40	0.47	0.24	0.45	NA	0.63	0.41	0.67	0.39	0.46	0.48	0.39	0.39	0.83	0.33	0.39	0.42	0.51	0.44	0.63	0.75	0.69	1.00	0.38	0.38	0.67	0.84	0.55	0.35	0.90	0.67	0.71	0.46	0.55	0.29	0.32	0.62	0.96
NM_012141|INTS6|chr13|-	chr13:51935909-51939981	51939493	NA	NA	0.35	0.33	0.26	0.35	0.53	0.33	0.38	0.36	0.46	NA	0.42	0.43	0.43	0.32	0.44	0.31	0.42	0.43	0.26	0.41	0.40	0.39	0.34	0.26	0.42	0.27	0.40	0.21	0.40	NA	0.24	0.31	0.36	0.48	NA	0.39	0.21	0.36	0.44	0.48	NA	0.42	0.37	0.43	NA	0.32	0.39	0.56	0.45	0.27	0.40	0.34	0.36	NA	0.30	0.42	0.40	0.42	0.30	0.37	0.41	0.29	0.48	0.35	0.58	0.47	NA	0.48	0.37	0.26
