event_id	loci	Proximal_Site	TCGA-77-8008-01A-21R-2187-07	TCGA-51-4081-01A-01R-1100-07	TCGA-90-6837-01A-11R-1949-07	TCGA-56-8201-01A-11R-2247-07	TCGA-77-7138-01A-41R-2045-07	TCGA-22-5482-01A-01R-1635-07	TCGA-51-4079-01A-01R-1100-07	TCGA-56-8083-01A-11R-2247-07	TCGA-77-7338-01A-11R-2045-07	TCGA-56-7731-01A-11R-2125-07	TCGA-77-7335-01A-11R-2045-07	TCGA-33-6737-01A-11R-1820-07	TCGA-58-8386-01A-11R-2296-07	TCGA-56-8623-01A-11R-A28V-07	TCGA-85-7710-01A-11R-2125-07	TCGA-22-4609-01A-21R-2125-07	TCGA-43-6647-01A-11R-1820-07	TCGA-22-5472-01A-01R-1635-07	TCGA-77-7337-01A-21R-2045-07	TCGA-43-7657-01A-31R-2125-07	TCGA-22-5481-01A-31R-1949-07	TCGA-22-5478-01A-01R-1635-07	TCGA-22-5483-01A-01R-1820-07	TCGA-22-5489-01A-01R-1635-07	TCGA-77-7142-01A-11R-2045-07	TCGA-43-7658-01A-11R-2125-07	TCGA-56-7582-01A-11R-2045-07	TCGA-43-6143-01A-11R-1820-07	TCGA-39-5040-01A-21R-2125-07	TCGA-43-3394-01A-01R-0980-07	TCGA-56-8309-01A-11R-2296-07	TCGA-22-5491-01A-01R-1635-07	TCGA-90-7767-01A-11R-2125-07	TCGA-92-7340-01A-21R-2045-07	TCGA-43-6773-01A-41R-1949-07	TCGA-56-7730-01A-11R-2125-07	TCGA-34-8454-01A-11R-2326-07	TCGA-33-4587-01A-11R-2125-07	TCGA-43-6771-01A-11R-1820-07	TCGA-60-2709-01A-21R-1820-07	TCGA-56-7580-01A-11R-2045-07	TCGA-77-8007-01A-11R-2187-07	TCGA-56-7823-01B-11R-2247-07	TCGA-51-4080-01A-01R-1100-07	TCGA-43-5670-01A-21R-2125-07	TCGA-22-4593-01A-21R-1820-07	TCGA-56-7579-01A-11R-2045-07	TCGA-22-5471-01A-01R-1635-07	TCGA-34-7107-01A-11R-1949-07	TCGA-56-8082-01A-11R-2247-07	TCGA-56-7222-01A-11R-2045-07
NM_032017|STK40|chr1|-	chr1:36805216-36807574	36807362	0.98	0.94	0.97	0.94	0.99	0.96	0.98	0.93	0.99	0.98	1.00	0.95	0.91	0.98	0.94	0.98	0.92	0.97	0.94	0.96	0.92	0.94	0.93	0.95	1.00	0.99	0.98	0.94	0.97	0.96	0.96	0.95	0.99	0.99	0.95	0.98	0.97	0.99	0.93	0.95	1.00	0.97	0.96	0.95	0.97	0.95	0.97	0.98	0.93	0.95	0.96
NM_015471|NSL1|chr1|-	chr1:212910464-212912028	212911245	0.22	0.18	0.13	0.25	0.26	0.18	0.19	0.15	0.23	0.29	0.35	0.21	0.17	0.25	0.19	0.20	0.16	0.18	0.18	0.26	0.11	0.18	0.19	0.18	0.24	0.21	0.21	0.14	0.17	0.15	0.22	0.16	0.19	0.27	0.23	0.21	0.24	0.17	0.20	0.13	0.29	0.17	0.23	0.17	0.22	0.19	0.29	0.18	0.17	0.21	0.26
NM_002497|NEK2|chr1|-	chr1:211836115-211836994	211836619	NA	0.67	0.50	0.97	0.97	NA	0.83	0.73	0.86	0.65	1.00	0.89	0.50	NA	0.74	0.64	NA	0.72	0.77	0.88	0.47	0.55	0.67	0.72	0.80	0.78	0.67	0.67	0.63	0.76	0.82	0.61	0.86	0.92	0.73	0.79	0.72	0.80	NA	0.72	0.95	0.73	0.76	0.79	0.96	0.66	0.97	0.75	0.60	0.83	0.87
NM_014856|DENND4B|chr1|-	chr1:153901969-153902918	153902359	0.98	0.99	0.97	0.99	0.99	0.99	1.00	0.94	0.98	1.00	1.00	0.98	0.89	0.95	0.94	1.00	0.92	1.00	0.99	1.00	0.95	0.95	0.94	0.92	1.00	0.99	0.95	0.89	1.00	0.98	0.96	0.96	1.00	1.00	0.99	1.00	0.95	0.98	0.91	0.89	0.99	0.99	0.99	0.95	1.00	0.94	1.00	1.00	0.95	1.00	0.98
NM_020248|CTNNBIP1|chr1|-	chr1:9908341-9910834	9910199	0.40	0.37	0.41	0.61	0.45	0.90	0.51	1.00	0.81	0.50	0.51	0.35	0.71	1.00	0.59	0.46	0.79	0.83	0.29	0.95	1.00	0.92	0.46	0.92	0.47	1.00	0.27	0.50	0.73	0.56	0.95	0.34	0.56	0.19	0.64	0.39	0.97	0.83	0.38	1.00	0.45	0.77	0.32	0.53	0.45	0.96	0.31	0.33	0.46	0.48	0.28
NM_004781|VAMP3|chr1|+	chr1:7839685-7841493	7840225	0.97	0.99	0.95	1.00	1.00	0.97	0.99	0.97	0.99	1.00	1.00	0.98	0.96	0.98	0.98	0.96	0.98	0.98	0.98	1.00	0.97	0.97	0.98	0.99	0.99	0.99	1.00	0.98	0.97	0.98	0.99	0.96	0.99	1.00	0.98	0.99	0.98	0.99	0.96	0.98	1.00	0.97	0.99	0.99	0.99	0.97	1.00	1.00	0.96	0.96	0.98
NM_005686|SOX13|chr1|+	chr1:204094985-204096900	204096317	0.90	0.89	NA	0.85	NA	0.78	0.97	0.79	0.74	0.95	NA	0.97	0.90	0.84	0.71	0.71	NA	0.84	0.98	0.88	0.98	NA	0.70	0.82	1.00	0.80	0.97	0.70	0.75	0.94	NA	0.75	0.80	1.00	0.92	0.99	0.89	0.80	0.66	0.74	1.00	NA	0.91	0.79	0.90	0.78	0.97	1.00	0.77	0.82	0.85
NM_004930|CAPZB|chr1|-	chr1:19665385-19666111	19665730	0.47	0.50	0.43	0.45	0.56	0.45	0.52	0.41	0.52	0.49	0.51	0.41	0.39	0.54	0.47	0.45	0.47	0.51	0.48	0.51	0.45	0.41	0.42	0.41	0.44	0.51	0.52	0.35	0.45	0.44	0.46	0.44	0.48	0.53	0.45	0.50	0.43	0.51	0.43	0.45	0.53	0.42	0.43	0.49	0.50	0.42	0.53	0.50	0.43	0.49	0.60
NM_001242857|PRKACB|chr1|+	chr1:84700862-84704200	84701360	0.88	0.90	0.82	NA	NA	0.79	0.99	0.93	0.93	NA	NA	NA	0.85	0.94	NA	0.83	0.78	NA	0.98	NA	NA	0.80	0.83	0.81	0.90	0.84	0.93	0.76	NA	0.91	0.90	0.87	0.92	NA	0.86	NA	0.86	NA	NA	0.83	1.00	0.86	NA	NA	NA	0.79	NA	NA	0.76	NA	NA
NM_002840|PTPRF|chr1|+	chr1:44087605-44089332	44087958	0.75	0.84	0.73	0.93	0.85	0.79	0.88	0.71	0.74	0.79	0.96	0.72	0.66	0.88	0.74	0.71	0.81	0.83	0.85	0.80	0.78	0.74	0.73	0.76	0.92	0.87	0.89	0.62	0.81	0.82	0.87	0.79	0.82	0.78	0.78	0.78	0.78	0.81	0.69	0.81	0.92	0.80	0.78	0.85	0.88	0.72	0.71	0.85	0.70	0.90	0.80
