event_id	loci	Proximal_Site	TCGA-E9-A1RC-01A-11R-A157-07	TCGA-BH-A18N-01A-11R-A12D-07	TCGA-E9-A1R7-01A-11R-A14M-07	TCGA-GI-A2C9-01A-11R-A21T-07	TCGA-BH-A0AZ-01A-21R-A12P-07	TCGA-BH-A0DH-01A-11R-A084-07	TCGA-BH-A0B8-01A-21R-A056-07	TCGA-BH-A1EV-01A-11R-A137-07	TCGA-E9-A1RH-01A-21R-A169-07	TCGA-E9-A1NA-01A-11R-A144-07	TCGA-BH-A0BM-01A-11R-A056-07	TCGA-E2-A1L7-01A-11R-A144-07	TCGA-BH-A0BV-01A-11R-A00Z-07	TCGA-BH-A18S-01A-11R-A12D-07	TCGA-BH-A0DP-01A-21R-A056-07	TCGA-BH-A0BZ-01A-31R-A12P-07	TCGA-BH-A0H9-01A-11R-A056-07	TCGA-BH-A18P-01A-11R-A12D-07	TCGA-BH-A18U-01A-21R-A12D-07	TCGA-BH-A0BT-01A-11R-A12P-07	TCGA-BH-A0E1-01A-11R-A056-07	TCGA-AC-A23H-01A-11R-A157-07	TCGA-BH-A209-01A-11R-A157-07	TCGA-BH-A0DK-01A-21R-A056-07	TCGA-E9-A1RF-01A-11R-A157-07	TCGA-BH-A203-01A-12R-A169-07	TCGA-BH-A18L-01A-32R-A12D-07	TCGA-A7-A0DC-01A-11R-A00Z-07	TCGA-A7-A0DC-01B-04R-A22O-07	TCGA-AC-A2FF-01A-11R-A17B-07	TCGA-BH-A0AY-01A-21R-A00Z-07	TCGA-BH-A1FC-01A-11R-A13Q-07	TCGA-E2-A153-01A-12R-A12D-07	TCGA-BH-A0BA-01A-11R-A056-07	TCGA-BH-A0E0-01A-11R-A056-07	TCGA-BH-A0DT-01A-21R-A12D-07	TCGA-BH-A18R-01A-11R-A12D-07	TCGA-E9-A1N9-01A-11R-A14D-07	TCGA-E2-A15I-01A-21R-A137-07	TCGA-AC-A2FB-01A-11R-A17B-07	TCGA-BH-A0BQ-01A-21R-A115-07	TCGA-BH-A0B7-01A-12R-A115-07	TCGA-BH-A0C3-01A-21R-A12P-07	TCGA-BH-A18Q-01A-12R-A12D-07	TCGA-E9-A1N6-01A-11R-A144-07	TCGA-BH-A18J-01A-11R-A12D-07	TCGA-E2-A1LB-01A-11R-A144-07	TCGA-A7-A0DB-01A-11R-A277-07	TCGA-A7-A0DB-01A-11R-A00Z-07	TCGA-A7-A0DB-01C-02R-A277-07	TCGA-BH-A1F2-01A-31R-A13Q-07	TCGA-A7-A13G-01B-04R-A22O-07	TCGA-A7-A13G-01A-11R-A13Q-07	TCGA-BH-A0B5-01A-11R-A12P-07	TCGA-BH-A18V-01A-11R-A12D-07	TCGA-BH-A1EN-01A-11R-A13Q-07	TCGA-BH-A18M-01A-11R-A12D-07	TCGA-BH-A0BS-01A-11R-A12P-07	TCGA-BH-A0HA-01A-11R-A12P-07	TCGA-BH-A0DL-01A-11R-A115-07	TCGA-BH-A204-01A-11R-A157-07	TCGA-BH-A1FU-01A-11R-A14D-07	TCGA-A7-A0CE-01A-11R-A00Z-07	TCGA-E2-A15M-01A-11R-A12D-07	TCGA-E9-A1RD-01A-11R-A157-07	TCGA-BH-A0BJ-01A-11R-A056-07	TCGA-BH-A0BW-01A-11R-A115-07	TCGA-BH-A0C0-01A-21R-A056-07	TCGA-BH-A18K-01A-11R-A12D-07	TCGA-E9-A1ND-01A-11R-A144-07	TCGA-BH-A0BC-01A-22R-A084-07	TCGA-BH-A1EU-01A-11R-A137-07	TCGA-A7-A0CH-01A-21R-A00Z-07	TCGA-E9-A1RB-01A-11R-A157-07	TCGA-BH-A208-01A-11R-A157-07	TCGA-BH-A0H5-01A-21R-A115-07	TCGA-BH-A0HK-01A-11R-A056-07	TCGA-E2-A1LS-01A-12R-A157-07	TCGA-E2-A1BC-01A-11R-A12P-07	TCGA-A7-A0D9-01A-31R-A056-07	TCGA-BH-A0DO-01B-11R-A12D-07	TCGA-BH-A0H7-01A-13R-A056-07	TCGA-A7-A13F-01A-11R-A12P-07	TCGA-A7-A13E-01A-11R-A277-07	TCGA-A7-A13E-01B-06R-A277-07	TCGA-A7-A13E-01A-11R-A12P-07	TCGA-BH-A0DZ-01A-11R-A00Z-07	TCGA-E9-A1RI-01A-11R-A169-07	TCGA-E2-A15K-01A-11R-A12P-07	TCGA-BH-A0DG-01A-21R-A12P-07	TCGA-E9-A1NF-01A-11R-A14D-07	TCGA-E2-A1IG-01A-11R-A144-07	TCGA-E2-A158-01A-11R-A12D-07	TCGA-BH-A0AU-01A-11R-A12P-07	TCGA-BH-A1FN-01A-11R-A13Q-07	TCGA-BH-A0DQ-01A-11R-A084-07	TCGA-BH-A0DV-01A-21R-A12P-07	TCGA-E9-A1N5-01A-11R-A14D-07	TCGA-BH-A0DD-01A-31R-A12P-07	TCGA-E2-A1LH-01A-11R-A14D-07	TCGA-E9-A1NG-01A-21R-A14M-07	TCGA-BH-A1EO-01A-11R-A137-07	TCGA-E9-A1N4-01A-11R-A14M-07	TCGA-BH-A1FB-01A-11R-A13Q-07	TCGA-GI-A2C8-01A-11R-A16F-07
NM_017546|C2orf29|chr2|+	chr2:101885677-101886927	101886477	0.81	0.80	0.81	0.93	1.00	0.93	0.80	0.91	0.86	0.81	1.00	0.92	0.83	0.89	0.89	0.97	0.88	0.82	0.89	1.00	0.91	0.86	0.89	0.98	0.96	0.96	0.79	0.88	NA	0.87	0.88	0.96	0.96	0.97	1.00	0.97	0.82	0.91	0.89	0.90	0.91	0.84	0.82	0.89	0.98	0.97	0.97	0.70	0.99	NA	0.85	NA	0.84	0.87	0.87	0.90	0.90	0.84	1.00	0.98	0.82	0.84	0.91	0.78	0.90	0.81	0.86	0.86	1.00	0.93	0.92	0.85	0.98	0.91	0.97	0.92	0.89	1.00	0.89	0.80	0.92	0.85	0.93	0.78	NA	0.88	0.80	0.98	0.95	0.93	1.00	0.92	0.97	0.88	0.92	0.98	0.83	0.90	0.84	1.00	0.97	0.80	0.84	0.80	0.93
NM_001013649|C2orf68|chr2|-	chr2:85831564-85836190	85835462	0.18	0.40	0.26	0.32	0.41	0.17	0.44	0.20	0.15	0.19	0.43	0.28	0.29	0.22	0.40	0.28	0.14	0.30	0.22	0.24	0.34	0.11	0.18	0.35	0.19	0.13	0.15	0.33	NA	0.45	0.16	0.19	0.36	0.33	0.16	0.36	0.29	0.37	0.44	0.31	0.33	0.23	0.29	0.49	0.34	0.24	0.11	NA	0.29	NA	0.34	0.68	0.23	0.42	0.38	0.29	0.35	0.22	0.26	0.15	0.44	0.27	0.19	0.33	0.31	0.34	0.22	0.32	0.23	0.16	0.30	0.58	0.33	0.29	0.50	0.34	0.36	0.70	0.48	0.34	0.53	0.22	0.25	0.35	NA	0.21	0.29	0.27	0.38	0.19	0.29	0.34	0.37	0.40	0.26	0.30	0.45	0.45	0.25	0.35	0.28	0.48	0.37	0.47	0.38
NM_003162|STRN|chr2|-	chr2:37065932-37076768	37070990	0.06	0.17	0.12	0.09	NA	0.06	0.12	0.13	0.03	NA	NA	0.11	0.13	0.06	0.13	NA	0.12	0.08	0.13	NA	0.10	0.04	NA	NA	NA	NA	0.10	0.12	NA	0.17	NA	0.05	NA	0.09	0.08	0.21	0.13	0.14	0.13	0.22	NA	0.11	0.13	0.20	0.10	0.07	0.04	NA	0.11	NA	0.10	NA	0.12	0.11	0.10	0.09	0.12	0.09	NA	0.07	0.09	0.11	0.32	0.12	0.12	0.11	0.12	0.15	0.10	0.09	0.08	0.17	0.14	0.09	NA	NA	NA	NA	0.08	0.26	0.21	NA	0.13	0.21	0.32	0.15	NA	0.14	0.13	NA	NA	NA	0.36	0.33	0.19	NA	NA	0.15	0.12	NA	NA	0.19	0.10	0.15	0.22
NM_207362|C2orf55|chr2|-	chr2:99410307-99411134	99410672	0.98	1.00	0.99	NA	0.97	1.00	0.91	0.93	NA	1.00	1.00	1.00	0.82	1.00	1.00	1.00	0.99	1.00	0.95	1.00	0.99	0.96	NA	0.84	0.99	1.00	NA	NA	NA	1.00	0.97	NA	1.00	1.00	NA	1.00	0.99	1.00	0.97	1.00	1.00	1.00	0.99	1.00	NA	0.98	1.00	NA	1.00	NA	NA	0.95	1.00	1.00	NA	NA	0.96	0.98	1.00	0.99	1.00	0.98	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.94	0.98	1.00	1.00	NA	1.00	1.00	0.68	1.00	1.00	0.86	1.00	0.99	0.97	NA	NA	NA	NA	0.99	1.00	NA	1.00	0.93	1.00	0.81	1.00	1.00	1.00	1.00	0.94	NA	1.00	1.00	1.00	0.96	1.00
NM_017991|KANSL3|chr2|-	chr2:97258541-97261368	97261025	0.99	0.99	1.00	0.99	1.00	0.99	1.00	0.98	1.00	0.99	1.00	0.99	1.00	1.00	0.99	1.00	0.99	0.99	0.99	1.00	1.00	0.99	1.00	1.00	1.00	1.00	0.99	1.00	0.96	1.00	0.99	1.00	0.98	1.00	0.99	0.99	0.99	1.00	1.00	0.98	1.00	1.00	0.98	0.98	1.00	1.00	1.00	0.94	1.00	NA	0.98	0.98	1.00	1.00	0.99	0.98	1.00	0.99	NA	1.00	0.99	1.00	1.00	1.00	1.00	1.00	0.99	0.99	1.00	1.00	1.00	1.00	0.99	1.00	1.00	1.00	0.99	1.00	1.00	1.00	0.99	1.00	0.99	NA	NA	0.99	0.98	1.00	1.00	1.00	1.00	0.99	1.00	0.98	1.00	1.00	0.98	0.99	0.99	NA	1.00	1.00	1.00	0.99	0.99
NM_004457|ACSL3|chr2|+	chr2:223806214-223809317	223806771	0.19	0.38	0.37	0.27	0.21	0.17	0.36	0.15	0.22	0.18	0.26	0.22	0.29	0.21	0.26	0.21	0.40	0.28	0.19	0.12	0.21	0.21	0.15	0.38	0.25	0.11	0.35	0.48	0.16	0.22	0.14	0.21	0.23	0.15	0.14	0.26	0.25	0.29	0.32	0.23	0.16	0.16	0.09	0.28	0.23	0.19	0.07	0.24	0.18	0.62	0.26	0.11	0.20	0.32	0.11	0.31	0.20	0.21	0.16	0.19	0.32	0.12	0.18	0.28	0.22	0.26	0.23	0.16	0.20	0.14	0.19	0.30	0.27	0.15	0.19	0.21	0.41	0.31	0.21	0.26	0.19	0.24	0.19	0.13	0.68	0.11	0.26	0.29	0.28	0.15	0.27	0.48	0.33	0.30	0.20	0.27	0.22	0.21	0.37	0.14	0.22	0.27	0.25	0.27	0.26
NM_138458|WDR92|chr2|-	chr2:68356497-68358577	68357505	NA	0.48	0.57	0.41	NA	NA	0.37	0.46	0.31	NA	0.82	0.40	NA	0.35	0.66	NA	0.52	0.35	0.63	0.68	0.38	0.42	NA	NA	0.80	0.56	0.44	0.73	NA	NA	NA	0.51	NA	0.59	0.44	0.53	0.48	NA	0.49	0.45	0.74	0.44	NA	0.60	NA	0.42	0.56	NA	0.54	NA	NA	NA	0.42	0.33	NA	0.43	0.56	0.38	NA	0.59	0.44	NA	0.49	NA	0.58	0.59	0.36	0.57	0.63	0.50	NA	0.56	0.65	NA	NA	NA	NA	0.88	0.38	0.44	0.59	NA	0.46	NA	NA	0.40	NA	0.47	0.53	NA	NA	0.56	0.52	NA	NA	0.35	NA	0.49	0.55	NA	NA	0.52	NA	0.52	NA
NM_138402|SP140L|chr2|+	chr2:231267512-231269736	231268410	0.08	NA	0.03	0.02	NA	NA	NA	NA	NA	0.03	0.03	0.03	0.07	NA	0.02	0.04	NA	NA	0.05	0.03	NA	NA	0.11	0.09	0.04	NA	0.05	NA	NA	0.08	0.05	NA	0.04	0.06	NA	0.06	0.08	NA	0.08	0.05	NA	NA	0.06	0.09	NA	0.03	0.11	NA	0.02	NA	0.07	NA	0.05	0.08	0.05	NA	0.06	0.13	0.02	0.02	NA	NA	NA	0.06	0.09	0.02	0.08	0.07	0.03	0.07	0.02	0.08	0.06	0.02	NA	0.07	0.05	0.04	NA	0.10	NA	NA	0.03	NA	NA	NA	NA	NA	0.04	0.03	NA	0.06	NA	NA	0.03	0.07	0.05	0.06	0.19	0.02	0.05	0.10	0.09	0.09	0.08
NM_001139517|PRKRA|chr2|-	chr2:179296141-179296981	179296509	0.72	0.85	0.79	0.74	0.84	0.82	0.83	0.76	0.79	0.75	0.93	0.82	0.73	0.84	0.78	0.86	0.85	0.77	0.80	0.96	0.87	0.61	0.75	0.82	0.89	0.86	0.80	0.93	NA	0.69	0.79	0.81	0.82	0.83	0.92	0.80	0.79	0.88	0.75	0.81	0.97	0.83	0.77	0.73	0.87	0.91	0.89	0.76	0.91	NA	0.80	NA	0.86	0.84	0.78	0.84	0.80	0.81	1.00	0.92	0.71	0.70	0.97	0.85	0.85	0.92	0.72	0.83	0.91	0.86	0.82	0.86	0.95	0.76	0.85	0.94	0.61	0.93	0.95	0.71	0.89	0.85	0.88	0.96	NA	0.78	0.67	0.87	0.84	0.83	0.94	0.81	0.87	0.77	0.71	0.90	0.83	0.75	0.83	1.00	0.80	0.76	0.75	0.74	0.90
NM_006216|SERPINE2|chr2|-	chr2:224839874-224840621	224840223	0.60	0.72	0.79	0.76	0.60	0.70	0.76	0.72	0.78	0.56	0.80	0.69	0.52	0.71	0.83	0.71	0.84	0.55	0.68	0.85	0.82	0.71	0.66	0.80	0.85	0.80	0.61	NA	NA	0.76	1.00	0.80	0.78	0.66	0.98	0.70	0.77	0.76	0.76	0.75	0.72	0.67	0.67	0.69	0.67	0.73	0.69	0.72	0.88	1.00	0.70	NA	0.70	0.74	0.64	0.62	0.65	0.72	0.80	0.75	0.64	0.62	0.63	0.64	0.73	0.67	0.66	0.79	0.77	NA	0.72	0.72	0.84	0.78	0.63	0.72	0.80	0.90	0.71	0.62	0.82	0.79	0.60	NA	1.00	0.64	0.83	0.78	0.68	0.72	0.64	0.65	0.64	0.62	0.70	0.73	0.75	0.59	0.60	0.96	0.72	0.74	0.67	0.67	0.75
