event_id	loci	Proximal_Site	TCGA-CZ-5458-01A-01R-1503-07	TCGA-B2-5636-01A-02R-1541-07	TCGA-CZ-5462-01A-01R-1503-07	TCGA-B0-5696-01A-11R-1541-07	TCGA-CJ-6030-01A-11R-1672-07	TCGA-CJ-5679-01A-11R-1541-07	TCGA-B0-5709-01A-11R-1541-07	TCGA-B0-5705-01A-11R-1541-07	TCGA-CZ-5985-01A-11R-1672-07	TCGA-CZ-5452-01A-01R-1503-07	TCGA-B0-5706-01A-11R-1541-07	TCGA-B0-5701-01A-11R-1541-07	TCGA-CW-5580-01A-01R-1672-07	TCGA-CJ-5680-01A-11R-1541-07	TCGA-B0-5697-01A-11R-1541-07	TCGA-B0-4700-01A-02R-1541-07	TCGA-B8-5552-01B-11R-1672-07	TCGA-CZ-5984-01A-11R-1672-07	TCGA-CZ-5461-01A-01R-1503-07	TCGA-CZ-4865-01A-02R-1503-07	TCGA-B0-4712-01A-01R-1503-07	TCGA-CZ-5463-01A-01R-1503-07	TCGA-CW-5581-01A-02R-1541-07	TCGA-CZ-5456-01A-01R-1503-07	TCGA-CW-6090-01A-11R-1672-07	TCGA-CZ-5987-01A-11R-1672-07	TCGA-CZ-5455-01A-01R-1503-07	TCGA-CZ-5989-01A-11R-1672-07	TCGA-CZ-5453-01A-01R-1503-07	TCGA-CJ-5676-01A-11R-1541-07	TCGA-CW-5585-01A-01R-1541-07	TCGA-CZ-5466-01A-01R-1503-07	TCGA-CZ-5470-01A-01R-1503-07	TCGA-B0-5694-01A-11R-1541-07	TCGA-A3-3387-01A-01R-1541-07	TCGA-CW-6087-01A-11R-1672-07	TCGA-CZ-5451-01A-01R-1503-07	TCGA-A3-3358-01A-01R-1541-07	TCGA-CJ-5678-01A-11R-1541-07	TCGA-B0-5690-01A-11R-1541-07	TCGA-B0-5691-01A-11R-1541-07	TCGA-CJ-5672-01A-11R-1541-07	TCGA-CW-5584-01A-01R-1541-07	TCGA-B8-4620-01A-02R-1325-07	TCGA-B0-5699-01A-11R-1541-07	TCGA-B8-4622-01A-02R-1277-07	TCGA-B0-5402-01A-01R-1503-07	TCGA-CZ-5457-01A-01R-1503-07	TCGA-CZ-5986-01A-11R-1672-07	TCGA-CW-5587-01A-01R-1541-07	TCGA-CZ-4864-01A-01R-1503-07	TCGA-CZ-5988-01A-11R-1672-07	TCGA-B0-5711-01A-11R-1672-07	TCGA-CJ-5689-01A-11R-1541-07	TCGA-B0-5703-01A-11R-1541-07	TCGA-B0-5712-01A-11R-1672-07	TCGA-CZ-5469-01A-01R-1503-07	TCGA-CZ-4863-01A-01R-1503-07	TCGA-B2-5641-01A-01R-1541-07	TCGA-CZ-5465-01A-01R-1503-07	TCGA-CJ-5677-01A-11R-1541-07	TCGA-CZ-5982-01A-11R-1672-07	TCGA-CW-6088-01A-11R-1672-07	TCGA-CZ-5468-01A-01R-1503-07	TCGA-CZ-5467-01A-01R-1503-07	TCGA-CZ-5454-01A-01R-1503-07	TCGA-CJ-5681-01A-11R-1541-07	TCGA-CW-5591-01A-01R-1541-07	TCGA-B8-5549-01A-01R-1541-07	TCGA-B8-4619-01A-02R-1325-07	TCGA-CW-5589-01A-01R-1541-07	TCGA-CJ-6033-01A-11R-1672-07
NM_178314|RILPL1|chr12|-	chr12:123954483-123957229	123956781	0.28	0.19	0.20	0.16	0.15	0.13	0.21	0.20	0.18	0.18	0.17	0.13	0.17	0.12	0.18	0.11	0.20	0.18	0.15	0.17	0.11	0.29	0.16	0.14	0.18	0.13	0.28	NA	0.19	0.12	0.22	0.12	0.15	0.13	0.21	0.24	0.23	0.16	0.10	0.19	0.31	0.12	0.17	0.14	0.22	0.14	NA	0.21	0.24	0.18	NA	0.17	0.19	0.14	0.14	0.30	0.09	0.23	0.14	0.21	0.10	0.24	0.27	0.11	0.20	NA	0.30	0.26	0.18	0.24	0.21	0.12
NM_000089|COL1A2|chr7|+	chr7:94059558-94060521	94059940	0.34	0.43	0.44	0.50	0.53	0.32	0.38	0.30	0.49	0.45	0.40	0.34	0.43	0.43	0.28	0.53	0.42	0.32	0.42	0.56	0.58	0.53	0.32	0.45	0.75	0.52	0.50	0.86	0.51	0.44	0.44	0.41	0.45	0.46	0.53	0.56	0.35	0.40	0.35	0.47	0.25	0.40	0.56	0.37	0.39	0.46	0.46	0.49	0.45	0.32	0.39	0.56	0.56	0.51	0.55	0.58	0.57	0.55	0.56	0.53	0.46	0.51	0.45	0.41	0.47	0.60	0.57	0.42	0.49	0.45	0.47	0.57
NM_001145646|APH1B|chr15|+	chr15:63597812-63601336	63598064	0.43	0.75	0.46	0.43	0.40	0.23	0.63	0.58	0.53	0.31	0.50	0.47	0.64	NA	0.44	0.15	0.55	0.61	0.53	0.35	0.15	0.63	0.50	0.69	0.45	0.43	0.65	NA	0.63	0.16	0.64	0.37	0.28	0.39	0.57	0.58	0.51	0.60	0.15	0.53	0.74	0.34	0.66	0.60	0.57	0.73	0.61	0.40	0.71	0.60	0.73	0.50	0.62	0.30	0.29	0.56	0.14	0.52	0.56	0.66	0.23	0.58	0.78	0.30	0.62	0.44	NA	0.50	0.54	0.81	0.51	0.24
NM_015704|PPPDE2|chr22|-	chr22:41995447-41997194	41996940	0.20	0.47	0.40	0.19	0.23	0.19	0.37	0.35	0.42	0.23	NA	0.28	0.40	0.30	0.33	0.12	0.41	0.29	0.32	0.16	0.06	0.41	0.24	0.28	0.23	0.23	0.36	0.70	0.24	0.08	0.23	0.21	0.09	0.18	0.46	0.37	0.24	0.35	0.06	0.27	0.42	0.10	0.37	0.19	0.28	0.32	0.24	0.20	0.37	0.25	0.46	0.24	0.31	0.22	0.09	0.33	0.07	0.40	0.34	0.26	0.09	0.34	0.49	0.17	0.28	0.22	0.27	0.33	0.24	0.45	0.28	0.14
NM_018941|CLN8|chr8|+	chr8:1728415-1734843	1728818	0.43	0.61	0.46	0.41	0.31	0.39	0.40	0.56	0.48	0.40	NA	0.38	0.45	0.73	0.49	0.29	0.51	0.42	0.33	0.33	0.27	0.58	0.53	0.44	0.50	0.50	0.46	NA	0.37	0.32	0.52	NA	0.41	0.53	0.51	0.36	0.49	0.45	0.28	0.44	0.52	0.29	0.58	0.40	0.57	0.55	NA	0.52	0.62	0.42	0.67	0.39	0.52	0.44	0.34	NA	NA	0.43	0.52	NA	0.33	0.42	0.60	NA	0.52	0.34	0.66	0.58	0.39	0.57	0.57	NA
NM_178012|TUBB2B|chr6|-	chr6:3224535-3226045	3225037	NA	0.51	NA	NA	NA	0.31	0.33	NA	NA	NA	0.58	0.33	0.25	0.35	0.41	0.29	0.25	NA	0.58	NA	0.27	NA	NA	0.35	NA	0.34	NA	NA	0.33	NA	0.29	0.32	NA	0.39	0.29	0.47	NA	NA	NA	0.28	0.69	NA	0.36	0.39	0.33	NA	0.34	NA	NA	NA	NA	0.46	NA	0.65	0.40	NA	0.69	NA	NA	NA	0.28	NA	0.32	0.51	NA	NA	0.47	0.47	NA	NA	0.39	0.65
NM_138991|BACE2|chr21|+	chr21:42647297-42654435	42648456	0.11	0.26	0.10	0.07	0.13	0.05	0.20	0.16	0.09	0.06	0.09	0.08	0.15	0.10	0.10	0.04	0.17	0.09	0.13	0.07	0.07	NA	0.20	0.10	0.09	0.06	0.21	0.27	0.10	0.06	0.10	0.08	0.08	0.10	0.20	0.33	0.11	0.12	0.04	0.13	0.25	0.10	0.17	0.08	0.22	0.15	0.16	0.13	0.16	NA	0.19	0.07	0.21	0.14	0.08	0.14	0.02	0.18	0.15	0.15	0.05	0.15	0.20	0.02	0.11	0.13	0.12	0.27	0.11	0.45	0.16	0.06
NM_001037333|CYFIP2|chr5|+	chr5:156819840-156822595	156820161	0.32	0.41	0.38	0.23	0.33	0.18	0.49	0.43	0.30	0.22	0.18	0.25	0.38	0.27	0.28	0.12	0.38	0.25	0.27	0.28	0.10	0.59	0.36	0.34	0.24	0.21	0.65	0.95	0.28	0.10	0.30	0.25	0.17	0.17	0.37	0.47	0.30	0.31	0.13	0.21	0.40	0.16	0.28	0.25	0.43	0.35	0.35	0.54	0.50	0.40	0.54	0.24	0.47	0.26	0.19	0.43	0.08	0.53	0.37	0.41	0.05	0.36	0.48	0.20	0.29	0.32	0.26	0.54	0.23	0.76	0.41	0.11
NM_005793|NME6|chr3|-	chr3:48331780-48336293	48335616	0.47	0.62	0.44	0.29	0.57	0.30	0.65	0.60	0.54	0.40	NA	0.43	0.49	NA	0.32	0.25	0.58	NA	0.42	0.48	0.19	0.68	0.46	0.41	NA	0.47	0.70	NA	0.52	0.33	NA	0.35	0.32	0.42	NA	0.45	0.56	0.40	0.21	NA	0.47	0.41	0.47	NA	0.53	NA	0.53	0.58	0.55	0.55	0.60	NA	0.66	0.50	0.48	0.56	0.19	0.55	0.43	NA	0.26	NA	0.79	0.28	NA	0.40	NA	0.58	0.46	0.52	0.53	NA
NM_175624|RAB3IP|chr12|+	chr12:70209143-70216966	70209434	0.23	0.32	NA	0.17	0.19	NA	0.37	0.39	0.30	0.17	0.18	0.16	0.26	0.40	0.29	NA	0.35	0.35	0.27	0.30	0.11	0.50	0.35	NA	NA	0.29	0.48	0.35	0.21	NA	0.32	0.17	0.23	0.16	0.30	0.37	0.31	0.18	0.13	0.24	0.38	0.21	0.29	NA	0.37	0.34	0.25	0.37	0.48	0.41	0.54	0.21	0.41	0.35	0.14	0.25	0.14	0.45	0.54	0.33	0.12	0.30	0.47	NA	0.22	0.18	0.14	0.40	0.24	0.27	0.37	0.11
