event_id	loci	Proximal_Site	TCGA-GC-A3BM-01A-11R-A22U-07	TCGA-CU-A0YN-01A-21R-A10U-07	TCGA-K4-A3WV-01A-11R-A22U-07	TCGA-GC-A6I3-01A-11R-A31N-07	TCGA-BT-A20R-01A-12R-A16R-07	TCGA-BT-A20W-01A-21R-A14Y-07	TCGA-BL-A13J-01A-11R-A277-07	TCGA-BL-A13J-01A-11R-A10U-07	TCGA-BL-A13J-01B-04R-A277-07	TCGA-K4-A54R-01A-11R-A26T-07	TCGA-BT-A20Q-01A-11R-A14Y-07	TCGA-BT-A2LA-01A-11R-A18C-07	TCGA-K4-A5RI-01A-11R-A28M-07	TCGA-BT-A20U-01A-11R-A14Y-07	TCGA-GD-A3OP-01A-21R-A220-07	TCGA-GD-A3OQ-01A-32R-A220-07	TCGA-CU-A0YR-01A-12R-A10U-07	TCGA-GD-A2C5-01A-12R-A180-07	TCGA-GC-A3WC-01A-31R-A22U-07	TCGA-BT-A20N-01A-11R-A14Y-07	TCGA-BT-A2LB-01A-11R-A18C-07
NM_002826|QSOX1|chr1|+	chr1:180165396-180167142	180165772	0.59	0.61	0.79	0.72	0.82	0.64	0.59	0.65	0.78	0.69	0.73	0.64	0.62	0.71	0.64	0.66	0.62	0.76	0.64	0.66	0.72
NM_018715|RCC2|chr1|-	chr1:17733242-17735690	17735422	0.87	0.88	0.91	1.00	0.91	0.95	0.79	0.87	0.97	0.98	0.93	0.95	0.95	0.87	0.90	0.87	0.92	0.91	0.85	0.87	0.93
NM_182976|ZNF326|chr1|+	chr1:90492912-90497777	90493095	0.14	0.07	0.08	0.10	0.12	0.08	NA	0.09	NA	0.12	0.09	0.08	0.13	0.08	0.14	0.09	0.10	0.10	0.12	0.08	0.08
NM_004781|VAMP3|chr1|+	chr1:7839685-7841500	7840225	1.00	0.98	1.00	1.00	1.00	0.99	0.93	1.00	0.89	1.00	0.99	1.00	1.00	0.98	0.98	0.99	1.00	1.00	0.99	0.99	1.00
NM_015836|WARS2|chr1|-	chr1:119573461-119575982	119575439	0.66	0.49	0.80	NA	0.61	0.85	NA	0.54	NA	0.56	0.87	0.81	0.36	0.54	0.75	0.75	0.79	NA	0.62	0.76	0.42
NM_017686|GDAP2|chr1|-	chr1:118407974-118413238	118412833	NA	0.15	0.15	0.12	0.18	0.26	NA	NA	NA	0.14	NA	0.13	NA	0.19	NA	NA	0.23	0.13	NA	0.20	NA
NM_005999|TSNAX|chr1|+	chr1:231700273-231706774	231702252	0.01	0.01	0.01	NA	0.01	0.01	0.01	0.00	NA	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.01	0.01	0.01	0.00	0.01
NM_018212|ENAH|chr1|-	chr1:225680552-225685514	225682556	0.14	0.08	0.25	NA	0.18	0.16	0.09	0.10	0.14	0.31	0.17	0.21	0.24	0.17	0.11	0.12	0.10	0.17	0.13	0.09	0.28
NM_000147|FUCA1|chr1|-	chr1:24171568-24172345	24172176	0.94	1.00	0.97	1.00	1.00	0.97	0.84	0.98	1.00	1.00	0.97	0.99	1.00	1.00	0.97	0.92	0.97	1.00	0.97	0.99	1.00
NM_003528|HIST2H2BE|chr1|-	chr1:149855669-149858232	149857824	0.95	0.97	0.94	NA	NA	0.89	0.02	1.00	0.14	0.96	NA	0.96	0.99	NA	0.94	NA	NA	NA	0.94	0.90	0.95
