event_id	loci	Proximal_Site	TCGA-38-4627-01A-01R-1206-07	TCGA-49-4512-01A-21R-1858-07	TCGA-55-6983-01A-11R-1949-07	TCGA-55-6978-01A-11R-1949-07	TCGA-73-4676-01A-01R-1755-07	TCGA-91-6828-01A-11R-1858-07	TCGA-44-2655-01A-01R-0946-07	TCGA-44-2657-01A-01R-1107-07	TCGA-50-5933-01A-11R-1755-07	TCGA-55-6984-01A-11R-1949-07	TCGA-91-6829-01A-21R-1858-07	TCGA-44-2668-01A-01R-A278-07	TCGA-44-2668-01B-02R-A277-07	TCGA-44-2668-01A-01R-0946-07	TCGA-44-6777-01A-11R-1858-07	TCGA-91-6831-01A-11R-1858-07	TCGA-50-5932-01A-11R-1755-07	TCGA-49-6744-01A-11R-1858-07	TCGA-50-5931-01A-11R-1755-07	TCGA-44-2662-01B-02R-A277-07	TCGA-44-2662-01A-01R-A278-07	TCGA-44-2662-01A-01R-0946-07	TCGA-44-6778-01A-11R-1858-07	TCGA-38-4632-01A-01R-1755-07	TCGA-44-6146-01A-11R-1755-07	TCGA-44-6146-01A-11R-A278-07	TCGA-44-6146-01B-04R-A277-07	TCGA-44-3396-01A-01R-1206-07	TCGA-50-6595-01A-12R-1858-07	TCGA-55-6979-01A-11R-1949-07	TCGA-55-6975-01A-11R-1949-07	TCGA-44-2661-01A-01R-1107-07	TCGA-50-5935-01A-11R-1755-07	TCGA-55-6986-01A-11R-1949-07	TCGA-38-4625-01A-01R-1206-07	TCGA-49-6742-01A-11R-1858-07	TCGA-44-5645-01B-04R-A277-07	TCGA-44-5645-01A-01R-A278-07	TCGA-44-5645-01A-01R-1628-07	TCGA-44-6148-01A-11R-1755-07	TCGA-91-6849-01A-11R-1949-07	TCGA-49-6743-01A-11R-1858-07	TCGA-44-2665-01A-01R-0946-07	TCGA-44-2665-01B-06R-A277-07	TCGA-44-2665-01A-01R-A278-07	TCGA-50-5939-01A-11R-1628-07	TCGA-55-6969-01A-11R-1949-07	TCGA-55-6980-01A-11R-1949-07	TCGA-49-6745-01A-11R-1858-07	TCGA-49-6761-01A-31R-1949-07	TCGA-55-6981-01A-11R-1949-07	TCGA-44-6145-01A-11R-1755-07	TCGA-55-6971-01A-11R-1949-07	TCGA-44-6776-01A-11R-1858-07	TCGA-50-5930-01A-11R-1755-07	TCGA-91-6847-01A-11R-1949-07	TCGA-49-4490-01A-21R-1858-07	TCGA-44-6147-01A-11R-1755-07	TCGA-44-6147-01B-06R-A277-07	TCGA-44-6147-01A-11R-A278-07	TCGA-55-6985-01A-11R-1949-07	TCGA-55-6982-01A-11R-1949-07	TCGA-55-6968-01A-11R-1949-07	TCGA-91-6835-01A-11R-1858-07	TCGA-55-6970-01A-11R-1949-07	TCGA-55-6972-01A-11R-1949-07	TCGA-50-5936-01A-11R-1628-07	TCGA-91-6836-01A-21R-1858-07	TCGA-38-4626-01A-01R-1206-07
NM_206831|DPH3|chr3|-	chr3:16299454-16302336	16302074	0.45	0.35	0.42	0.28	0.26	0.35	0.51	0.50	0.33	0.46	0.47	0.33	NA	0.28	0.37	0.47	0.45	0.43	0.43	NA	0.41	0.34	0.47	0.19	0.61	0.65	NA	0.33	0.22	0.28	0.24	0.45	0.34	0.45	0.43	0.37	NA	0.58	0.59	0.71	0.38	0.26	0.49	NA	0.71	0.45	0.41	0.38	0.45	0.35	0.32	0.38	0.40	0.60	0.26	0.33	0.36	0.43	NA	0.47	0.39	0.32	0.39	0.27	0.46	0.41	0.37	0.13	0.46
NM_006246|PPP2R5E|chr14|-	chr14:63838021-63842826	63841603	0.40	0.42	0.44	0.33	0.28	0.37	0.49	NA	0.21	0.47	0.27	NA	0.29	0.23	0.31	0.39	0.41	0.40	0.44	0.37	NA	0.32	0.30	0.31	0.43	NA	0.42	0.31	0.29	0.29	0.31	0.42	0.47	0.44	0.34	0.46	0.41	NA	0.44	0.43	0.43	0.18	0.40	0.43	NA	0.34	NA	0.41	0.39	0.45	0.33	0.47	0.32	0.48	0.33	0.44	0.38	0.33	0.34	0.29	0.31	0.37	0.29	0.27	0.26	0.46	0.30	0.18	0.37
NM_006275|SRSF6|chr20|+	chr20:42089342-42092858	42089895	0.40	0.57	0.38	0.37	0.30	0.34	0.40	0.37	0.28	0.46	0.32	0.23	0.83	0.24	0.35	0.42	0.36	0.37	0.47	0.84	0.24	0.24	0.43	0.43	0.47	0.43	0.99	0.28	0.32	0.31	0.32	0.38	0.59	0.54	0.40	0.44	0.90	0.38	0.45	0.42	0.49	0.28	0.35	0.93	0.39	0.40	0.51	0.53	0.41	0.61	0.34	0.47	0.33	0.57	0.33	0.55	0.44	0.40	0.97	0.39	0.32	0.38	0.45	0.32	0.36	0.46	0.34	0.22	0.38
NM_006201|CDK16|chrX|+	chrX:47088129-47089276	47088356	0.54	0.47	0.44	0.64	0.43	0.42	0.43	0.53	0.40	0.46	0.53	0.40	0.52	0.41	0.36	0.40	0.27	0.31	0.40	NA	0.43	0.47	0.47	0.41	0.47	0.51	NA	0.55	0.46	0.51	0.33	0.51	0.50	0.57	0.46	0.34	NA	0.54	0.51	0.47	0.24	0.51	0.69	NA	NA	0.50	0.40	0.54	0.52	0.55	0.48	0.48	0.52	0.52	0.32	0.63	0.43	0.46	NA	0.49	0.63	0.39	0.54	0.46	0.43	0.38	0.38	0.27	0.52
NM_033109|PNPT1|chr2|-	chr2:55861248-55863527	55863312	0.25	0.26	0.23	0.26	0.15	0.26	0.26	0.21	0.12	0.32	0.21	NA	NA	0.11	NA	0.29	0.37	0.24	0.26	NA	0.14	0.21	0.35	0.14	0.43	NA	NA	0.18	0.18	0.19	0.16	0.21	0.37	0.37	0.21	0.26	NA	NA	0.37	0.41	0.27	0.16	0.28	NA	NA	0.27	0.27	0.23	0.34	0.31	0.23	0.27	0.31	0.40	0.17	0.24	0.22	0.28	NA	0.23	0.27	0.34	0.17	0.27	0.29	0.35	0.20	0.06	0.37
NM_032859|ABHD13|chr13|+	chr13:108881546-108887673	108883182	0.27	NA	0.32	0.39	NA	0.28	0.23	0.30	0.25	0.26	0.38	0.27	NA	0.25	0.31	NA	0.27	0.39	NA	NA	0.29	0.21	0.48	0.21	0.29	0.26	NA	0.32	0.31	0.33	NA	0.22	0.44	0.43	0.30	0.41	NA	0.45	0.41	0.45	0.45	0.26	0.22	NA	NA	0.27	0.32	0.35	0.39	NA	0.24	0.32	0.34	0.35	0.31	0.23	0.25	0.40	NA	NA	0.34	0.37	0.36	0.34	0.34	NA	0.32	NA	0.45
NM_020248|CTNNBIP1|chr1|-	chr1:9908336-9910834	9910172	0.71	0.77	0.72	0.57	0.64	0.62	0.83	0.87	0.39	0.79	0.91	0.35	NA	0.39	0.72	0.57	0.94	0.70	0.85	NA	0.52	0.69	0.92	0.57	0.98	0.92	NA	0.77	0.46	0.71	0.36	0.75	0.91	0.95	0.56	0.72	NA	0.90	0.92	1.00	0.91	0.55	0.63	NA	0.42	0.82	0.93	1.00	0.92	0.66	0.93	0.95	0.76	0.98	0.63	0.82	0.93	0.82	NA	0.85	0.66	0.68	1.00	0.57	0.68	1.00	0.53	0.34	0.95
NM_003681|PDXK|chr21|+	chr21:45175831-45182197	45176003	0.14	0.07	0.11	0.14	0.12	0.18	0.27	0.15	0.14	0.23	0.29	0.11	0.33	0.07	0.18	0.13	0.15	0.07	0.20	NA	0.19	0.17	0.37	0.07	0.33	NA	NA	0.13	0.22	0.11	0.09	0.12	0.08	0.31	0.08	0.07	NA	0.40	0.39	0.28	0.12	0.20	0.16	NA	0.17	0.36	0.12	0.29	0.24	0.14	0.18	0.28	0.25	0.14	0.14	0.25	0.14	0.15	NA	0.23	0.19	0.11	0.23	0.26	0.29	0.21	0.15	0.10	0.19
NM_153271|SNX33|chr15|+	chr15:75949302-75954607	75950858	0.13	0.23	0.13	0.15	0.09	0.24	0.17	0.21	0.15	0.17	0.20	0.21	NA	0.13	0.20	0.18	0.14	0.11	NA	NA	0.24	0.17	0.36	0.09	0.16	0.22	NA	0.15	0.10	0.11	0.14	0.17	0.30	0.15	0.13	0.10	NA	0.44	0.35	0.28	0.12	0.20	0.16	NA	NA	0.25	0.22	0.21	0.11	0.12	0.15	0.19	0.24	0.09	0.11	0.22	0.16	0.25	NA	NA	0.16	0.12	NA	0.19	0.19	0.18	0.14	0.13	0.32
NM_016185|HN1|chr17|-	chr17:73131312-73132345	73132124	0.47	0.26	0.36	0.33	0.24	0.36	0.34	0.37	0.21	0.38	0.51	0.24	0.48	0.27	0.29	0.31	0.42	0.30	0.31	NA	0.28	0.35	0.39	0.20	0.44	0.41	NA	0.38	0.28	0.27	0.19	0.44	0.43	0.36	0.38	0.33	NA	0.46	0.52	0.49	0.29	0.32	0.49	NA	0.78	0.48	0.40	0.40	0.46	0.30	0.27	0.46	0.36	0.44	0.30	0.61	0.35	0.31	NA	0.35	0.34	0.29	0.41	0.32	0.35	0.30	0.24	0.17	0.38
