event_id	loci	Proximal_Site	TCGA-DI-A2QU-01A-11R-A18M-07	TCGA-AX-A2HC-01A-11R-A17B-07	TCGA-E6-A1M0-01A-11R-A144-07	TCGA-AX-A2HD-01A-21R-A17B-07	TCGA-AX-A1CK-01A-11R-A137-07	TCGA-AX-A2HA-01A-12R-A18M-07	TCGA-AX-A1CI-01A-11R-A137-07	TCGA-BK-A0CB-01A-32R-A104-07	TCGA-BG-A2AD-01A-21R-A16F-07	TCGA-AX-A0J0-01A-11R-A109-07	TCGA-AJ-A3NH-01A-11R-A22K-07	TCGA-BK-A4ZD-01A-11R-A27V-07	TCGA-AX-A1CF-01A-11R-A137-07	TCGA-DI-A2QY-01A-12R-A19W-07	TCGA-AJ-A3NC-01A-11R-A22K-07	TCGA-BG-A3EW-01A-11R-A22K-07	TCGA-AJ-A3NE-01A-11R-A22K-07	TCGA-BK-A13C-01A-11R-A118-07	TCGA-AX-A2H8-01A-11R-A17B-07	TCGA-AX-A05Y-01A-11R-A00V-07	TCGA-AX-A0IZ-01A-11R-A118-07	TCGA-BG-A3PP-01A-11R-A22K-07	TCGA-AJ-A2QL-01A-11R-A18M-07
NM_015045|WAPAL|chr10|-	chr10:88195005-88197365	88196822	0.41	0.54	0.66	0.42	0.31	0.40	0.56	0.29	0.41	0.42	0.62	0.69	0.28	0.29	0.67	0.50	0.62	0.61	0.54	NA	0.46	0.39	0.60
NM_005443|PAPSS1|chr4|-	chr4:108534818-108535543	108535205	0.82	0.44	0.50	0.39	0.79	0.92	1.00	0.41	0.53	0.41	0.72	0.58	0.29	1.00	0.93	0.58	0.62	0.66	0.97	0.11	0.99	0.90	0.81
NM_206831|DPH3|chr3|-	chr3:16299471-16302336	16301948	0.31	0.75	NA	0.61	NA	0.29	NA	NA	0.44	0.52	0.38	0.24	NA	0.12	0.48	0.60	0.30	NA	NA	NA	NA	0.26	0.56
NM_001127227|CD59|chr11|-	chr11:33730153-33731889	33731607	0.63	0.63	0.76	0.65	0.46	0.71	0.55	0.63	0.64	0.66	0.46	0.53	0.52	0.65	0.78	0.54	0.60	0.63	0.77	0.42	0.69	0.55	0.44
NM_014630|ZNF592|chr15|+	chr15:85345093-85349169	85346475	0.07	NA	0.29	0.21	NA	NA	0.25	0.10	0.30	0.15	0.21	0.30	0.16	0.05	0.24	0.25	0.25	0.40	NA	0.12	0.10	0.13	NA
NM_016141|DYNC1LI1|chr3|-	chr3:32567476-32568400	32568250	0.47	0.44	0.41	0.47	0.22	0.34	0.40	0.24	0.49	0.55	0.73	0.60	0.38	0.45	0.63	0.51	0.59	0.53	0.38	0.29	0.48	0.40	0.47
NM_006275|SRSF6|chr20|+	chr20:42089342-42092265	42089926	0.13	0.34	0.33	0.17	0.19	0.30	0.22	0.11	0.24	0.33	0.24	0.21	0.25	0.20	0.31	0.24	0.30	0.27	0.21	0.10	0.17	0.20	0.22
NM_001013649|C2orf68|chr2|-	chr2:85832299-85836190	85835437	0.26	0.34	0.38	0.54	0.42	NA	0.46	0.39	0.31	0.22	0.23	0.28	0.15	0.21	0.35	0.26	0.32	0.31	0.35	0.20	0.34	0.31	0.31
NM_006201|CDK16|chrX|+	chrX:47088129-47089366	47088350	0.13	0.33	0.34	0.39	0.14	0.50	0.16	0.15	0.33	0.24	0.49	0.34	0.12	0.13	0.45	0.36	0.52	0.32	0.30	0.12	0.26	0.37	0.31
NM_002634|PHB|chr17|-	chr17:47481409-47482566	47482246	0.14	0.22	0.20	0.26	0.12	0.20	0.17	0.21	0.29	0.17	0.19	0.20	0.14	0.12	0.23	0.28	0.27	0.22	0.26	0.13	0.21	0.18	0.22
NM_031288|INO80B|chr2|+	chr2:74684460-74685525	74685057	0.19	0.36	NA	0.66	0.44	NA	0.21	0.08	0.23	NA	0.15	0.16	0.06	0.07	0.57	0.39	0.19	0.26	0.16	0.08	0.18	0.14	NA
NM_033109|PNPT1|chr2|-	chr2:55861258-55863527	55863316	0.09	0.22	0.20	0.17	0.12	0.17	0.19	0.15	0.27	0.19	0.13	0.19	0.17	0.08	0.14	0.18	0.25	0.27	NA	NA	0.11	0.08	0.19
NM_006313|USP15|chr12|+	chr12:62797972-62799887	62798320	NA	NA	0.15	0.21	0.15	0.16	0.31	NA	0.27	0.14	NA	0.20	0.16	0.13	0.19	0.18	0.17	NA	NA	NA	0.11	0.12	0.16
NM_020248|CTNNBIP1|chr1|-	chr1:9908326-9910834	9910684	0.37	0.80	0.70	0.40	0.34	0.65	0.71	0.45	0.45	0.29	0.70	0.66	0.53	0.38	0.68	0.57	0.59	0.93	0.42	0.27	0.54	0.56	0.80
NM_012164|FBXW2|chr9|-	chr9:123519317-123527125	123526797	NA	0.57	0.38	0.33	0.25	0.24	NA	0.18	0.42	0.31	0.28	0.33	0.29	0.16	0.39	0.36	0.31	0.36	NA	0.10	0.22	0.19	0.29
NM_016252|BIRC6|chr2|+	chr2:32842791-32843943	32842982	0.78	0.40	0.47	0.31	0.62	0.76	0.96	0.30	0.33	0.38	0.65	0.66	0.25	1.00	0.82	0.51	0.70	0.38	0.60	0.07	0.69	0.81	0.57
NM_003681|PDXK|chr21|+	chr21:45175831-45182193	45176019	0.19	0.41	0.09	0.21	0.05	0.08	0.11	0.05	0.46	0.26	0.10	0.18	0.06	0.03	0.23	0.16	0.10	0.21	0.26	0.03	0.05	0.10	0.10
NM_005184|CALM3|chr19|+	chr19:47112381-47114042	47112542	0.58	0.75	0.71	0.75	0.20	0.68	0.46	0.62	0.70	0.54	0.89	0.82	0.60	0.28	0.86	0.79	0.82	0.69	0.77	0.59	0.62	0.74	0.73
NM_001098517|CADM1|chr11|-	chr11:115044345-115047312	115047140	NA	0.69	0.54	0.62	0.06	0.37	0.11	0.08	0.55	0.61	0.45	0.66	NA	0.16	0.62	0.56	0.67	0.59	0.66	0.14	0.13	0.31	0.42
NM_007045|FGFR1OP|chr6|+	chr6:167453391-167455871	167453792	0.25	0.41	NA	0.32	0.33	0.24	0.46	NA	0.31	0.23	0.33	0.38	NA	0.13	0.26	0.28	0.36	0.57	NA	NA	0.19	0.09	0.22
NM_001085468|CTNND1|chr11|+	chr11:57583768-57586671	57585830	0.49	0.19	0.59	0.16	0.30	0.95	0.88	0.39	0.17	0.19	0.35	0.42	0.21	NA	0.56	0.20	0.32	0.22	0.29	0.15	0.95	0.29	0.28
NM_000089|COL1A2|chr7|+	chr7:94059558-94060539	94059954	0.36	0.45	0.38	0.46	0.25	0.52	0.34	0.29	0.53	0.36	0.59	0.44	0.54	0.43	0.61	0.65	0.58	0.25	0.44	0.09	0.46	0.65	0.28
NM_014298|QPRT|chr16|+	chr16:29708519-29710025	29708902	0.44	NA	0.64	NA	NA	0.31	0.62	0.46	0.46	0.48	0.69	0.57	0.24	0.52	0.75	0.55	NA	NA	0.35	0.35	0.54	0.37	0.41
NR_028104|DCAF8|chr1|-	chr1:160185496-160187498	160186575	0.46	0.90	0.74	0.52	0.43	0.67	0.55	0.46	0.69	0.58	0.75	0.59	0.44	0.42	0.63	0.58	0.68	0.58	0.55	0.56	0.33	0.51	0.67
NM_014982|PCNX|chr14|+	chr14:71576511-71582091	71576855	0.11	0.37	0.11	0.19	0.08	0.11	0.13	0.10	NA	0.12	0.16	NA	0.11	0.06	0.25	0.25	0.31	NA	NA	0.03	NA	0.15	0.28
NM_005105|RBM8A|chr1|+	chr1:145509165-145513535	145509336	0.11	0.26	0.13	0.21	0.08	0.12	0.13	0.11	0.22	0.13	0.24	0.18	0.09	0.06	0.24	0.23	0.19	0.28	0.15	0.09	0.11	0.08	0.14
NM_013411|AK2|chr1|-	chr1:33473629-33476434	33475556	0.51	0.41	0.34	0.37	NA	NA	NA	NA	0.47	0.31	0.37	0.39	0.33	NA	0.47	0.38	0.39	0.34	0.36	0.15	0.55	0.28	0.76
NM_017588|WDR5|chr9|+	chr9:137023014-137025080	137023772	0.50	0.59	0.91	0.46	0.46	0.75	0.66	0.92	0.56	0.51	0.64	0.64	0.56	0.74	0.77	0.55	0.58	0.66	0.58	0.74	0.66	0.70	0.41
