event_id	loci	Proximal_Site	TCGA-GC-A3BM-01A-11R-A22U-07	TCGA-CU-A0YN-01A-21R-A10U-07	TCGA-K4-A3WV-01A-11R-A22U-07	TCGA-GC-A6I3-01A-11R-A31N-07	TCGA-BT-A20R-01A-12R-A16R-07	TCGA-BT-A20W-01A-21R-A14Y-07	TCGA-BL-A13J-01A-11R-A277-07	TCGA-BL-A13J-01A-11R-A10U-07	TCGA-BL-A13J-01B-04R-A277-07	TCGA-K4-A54R-01A-11R-A26T-07	TCGA-BT-A20Q-01A-11R-A14Y-07	TCGA-BT-A2LA-01A-11R-A18C-07	TCGA-K4-A5RI-01A-11R-A28M-07	TCGA-BT-A20U-01A-11R-A14Y-07	TCGA-GD-A3OP-01A-21R-A220-07	TCGA-GD-A3OQ-01A-32R-A220-07	TCGA-CU-A0YR-01A-12R-A10U-07	TCGA-GD-A2C5-01A-12R-A180-07	TCGA-GC-A3WC-01A-31R-A22U-07	TCGA-BT-A20N-01A-11R-A14Y-07	TCGA-BT-A2LB-01A-11R-A18C-07
NM_206831|DPH3|chr3|-	chr3:16299476-16302336	16302074	0.35	0.16	0.17	0.08	0.30	0.39	0.29	0.21	NA	0.18	0.34	0.64	0.26	0.40	0.47	0.30	0.40	0.28	0.45	0.18	0.29
NM_003099|SNX1|chr15|+	chr15:64429766-64436372	64430071	0.16	0.04	0.04	0.02	0.04	0.07	0.13	0.07	0.47	0.04	0.04	0.05	0.06	0.08	0.09	0.06	0.07	0.05	0.17	0.05	0.03
NM_020248|CTNNBIP1|chr1|-	chr1:9908327-9910834	9910178	1.00	0.30	0.51	0.61	0.52	0.95	0.61	0.61	NA	0.67	0.57	0.95	0.94	0.77	1.00	0.63	0.88	0.48	0.66	0.35	0.48
NM_153271|SNX33|chr15|+	chr15:75949302-75957306	75950924	0.25	0.11	0.08	NA	0.06	0.14	0.25	0.19	0.75	0.06	0.05	0.15	0.09	0.13	0.14	0.10	0.14	0.24	0.16	0.15	0.08
NM_000089|COL1A2|chr7|+	chr7:94059558-94060534	94059956	0.61	0.61	0.76	0.57	0.65	0.50	0.60	0.66	0.85	0.60	0.68	0.59	0.65	0.73	0.48	0.65	0.59	0.67	0.52	0.70	0.67
NM_014982|PCNX|chr14|+	chr14:71576511-71582102	71576854	0.38	0.29	0.12	0.04	0.29	0.24	NA	0.23	NA	0.26	0.34	0.22	0.25	0.37	0.38	0.42	0.44	0.23	0.26	0.22	0.21
NM_018999|FAM190B|chr10|+	chr10:86273204-86278280	86274159	0.56	0.37	0.25	NA	0.51	0.47	NA	0.44	NA	0.33	0.59	0.27	NA	0.57	0.52	0.46	0.43	0.42	NA	0.50	NA
NM_002687|PNN|chr14|+	chr14:39649706-39652621	39651101	0.29	0.21	0.37	NA	0.60	0.25	NA	0.28	NA	0.32	0.29	0.52	0.50	0.32	0.30	0.41	0.38	0.43	0.25	0.25	0.54
NM_006191|PA2G4|chr12|+	chr12:56506606-56507680	56506861	0.40	0.27	0.20	0.17	0.35	0.37	0.31	0.30	1.00	0.38	0.36	0.56	0.29	0.35	0.38	0.35	0.35	0.38	0.27	0.27	0.21
NM_006888|CALM1|chr14|+	chr14:90871032-90874606	90871888	0.21	0.13	0.10	0.13	0.17	0.28	0.21	0.17	0.18	0.05	0.17	0.23	0.20	0.21	0.30	0.22	0.31	0.13	0.28	0.22	0.22
NM_000983|RPL22|chr1|-	chr1:6245082-6246876	6246478	0.43	0.31	0.24	0.23	0.40	0.33	0.44	0.35	0.39	0.23	0.41	0.39	0.37	0.46	0.53	0.40	0.44	0.23	0.40	0.29	0.31
NM_139062|CSNK1D|chr17|-	chr17:80200045-80202707	80202333	0.68	0.46	0.31	0.69	0.38	0.63	0.39	0.46	0.59	0.35	0.63	0.82	0.49	0.41	0.84	0.57	0.69	0.55	0.67	0.50	0.52
NM_022731|NUCKS1|chr1|-	chr1:205682171-205687607	205687389	0.47	0.34	0.19	0.04	0.34	0.41	0.50	0.40	0.80	0.20	0.37	0.33	0.32	0.52	0.46	0.46	0.35	0.22	0.44	0.45	0.24
NM_152902|TIPRL|chr1|+	chr1:168169140-168171346	168169343	0.56	0.19	0.20	0.11	0.22	0.24	0.27	0.24	0.39	0.39	0.42	0.41	0.32	0.46	0.58	0.36	0.36	0.28	0.29	0.24	0.25
NM_000088|COL1A1|chr17|-	chr17:48262478-48263009	48262784	0.50	0.58	0.60	0.52	0.57	0.49	0.57	0.56	1.00	0.56	0.59	0.63	0.54	0.62	0.45	0.55	0.49	0.56	0.57	0.57	0.61
NM_001253912|TBC1D1|chr4|+	chr4:38138755-38140782	38139207	0.16	0.14	0.08	0.05	0.10	0.08	0.16	0.15	NA	0.06	0.11	0.11	0.12	0.18	0.14	0.15	0.17	0.09	0.15	0.11	0.12
NM_030821|PLA2G12A|chr4|-	chr4:110630821-110635651	110635196	0.54	0.35	0.22	0.13	0.39	0.47	0.40	0.31	NA	0.29	0.42	0.36	0.29	0.41	0.55	0.46	0.51	0.26	NA	0.36	0.37
NM_001145547|RBM17|chr10|+	chr10:6157415-6158745	6157634	0.21	0.09	0.11	0.07	0.08	0.10	0.18	0.10	NA	0.09	0.18	0.24	0.16	0.23	0.28	0.17	0.16	0.10	0.15	0.09	0.10
NM_183235|RAB27A|chr15|-	chr15:55495155-55497903	55497634	0.54	0.27	0.16	0.21	0.50	0.53	0.29	0.35	NA	0.48	0.46	0.35	0.47	0.43	0.60	0.46	0.33	0.43	0.44	0.43	0.45
NM_005766|FARP1|chr13|+	chr13:99100489-99102678	99101987	0.04	0.04	0.03	0.10	0.03	0.04	0.12	0.03	NA	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.02	0.03	NA	0.03	0.03
NM_000232|SGCB|chr4|-	chr4:52886873-52890326	52890073	NA	0.32	0.24	0.10	0.43	0.48	0.38	0.45	NA	0.32	0.40	0.35	0.48	0.46	0.55	0.43	NA	0.33	NA	NA	0.44
NM_015704|PPPDE2|chr22|-	chr22:41993901-41997194	41996942	0.53	0.33	0.31	0.13	0.24	0.38	0.38	0.35	NA	0.30	0.28	0.63	0.30	0.45	0.49	0.45	0.31	0.22	0.43	0.48	0.23
NM_001196|BID|chr22|-	chr22:18216347-18218357	18218186	0.35	0.26	0.11	0.28	0.31	0.27	0.32	0.27	0.33	0.14	0.30	0.41	0.24	0.32	0.44	0.23	0.22	0.26	0.33	0.20	0.21
NM_152734|C6orf89|chr6|+	chr6:36891122-36896755	36892289	0.72	0.45	0.37	0.20	0.29	0.51	0.51	0.36	NA	0.36	0.45	0.69	0.56	0.72	0.64	0.52	0.42	0.25	0.62	0.38	0.34
NM_001777|CD47|chr3|-	chr3:107762185-107766139	107765961	0.22	0.08	0.08	0.01	0.08	0.11	0.20	0.19	0.36	0.09	0.18	0.24	0.11	0.21	0.18	0.19	0.13	0.06	0.14	0.12	0.09
NM_002056|GFPT1|chr2|-	chr2:69546837-69553365	69552522	0.45	0.23	0.24	0.25	0.31	0.47	0.40	0.45	0.43	0.25	0.28	0.68	0.20	0.34	0.42	0.34	0.35	0.33	0.37	0.41	0.31
NM_002111|HTT|chr4|+	chr4:3241572-3245681	3242336	0.27	0.19	0.17	0.05	0.11	0.14	NA	0.12	NA	0.09	0.13	0.52	0.11	0.27	0.22	0.26	0.13	0.12	0.22	0.12	0.10
NM_003971|SPAG9|chr17|-	chr17:49039514-49043748	49043047	0.44	0.25	0.20	NA	0.39	0.39	0.46	0.31	0.52	0.27	0.39	0.44	0.35	0.42	0.48	0.40	0.38	0.28	0.52	0.36	0.36
NM_001195214|YIPF6|chrX|+	chrX:67751722-67757224	67754490	0.55	0.33	0.42	NA	0.68	0.58	0.19	0.29	0.37	0.37	0.57	NA	0.51	0.58	0.63	0.45	0.42	0.34	0.40	0.21	NA
NM_032368|LZIC|chr1|-	chr1:9986347-9990515	9990332	0.63	0.36	0.45	0.19	0.30	0.54	0.34	0.44	NA	0.41	0.53	0.57	0.33	0.67	0.75	0.50	0.50	0.31	0.57	0.43	0.41
NM_001110792|MECP2|chrX|-	chrX:153287111-153296901	153295788	0.54	0.22	0.17	0.02	0.09	0.18	0.20	0.12	NA	0.05	0.18	0.24	0.20	0.43	0.32	0.19	0.24	0.18	0.34	0.24	0.13
NM_006753|SURF6|chr9|-	chr9:136194386-136199184	136197870	0.08	0.20	0.07	0.31	0.10	0.25	NA	0.09	NA	0.05	0.31	0.30	0.32	0.10	0.10	0.07	0.23	0.09	0.10	0.13	0.10
NM_194261|UBE2I|chr16|+	chr16:1374730-1376171	1375281	0.09	0.05	0.08	0.16	0.07	0.08	0.06	0.07	NA	0.04	0.07	0.07	0.08	0.07	0.22	0.07	0.05	0.05	0.10	0.05	0.05
NM_024755|SLTM|chr15|-	chr15:59171241-59172306	59171682	0.78	0.63	0.58	1.00	0.68	0.71	0.64	0.54	NA	0.76	0.79	0.46	0.89	0.68	0.81	0.80	0.85	0.90	0.60	0.54	0.93
NM_002883|RANGAP1|chr22|-	chr22:41641549-41642676	41642526	0.96	0.96	0.98	0.98	0.97	0.98	0.93	0.97	NA	0.96	0.97	0.98	0.96	0.95	0.97	0.94	0.97	0.98	0.95	0.96	0.97
NM_001184790|PARD3|chr10|-	chr10:34398488-34400490	34400169	0.49	0.46	0.31	0.24	0.37	0.33	0.54	0.44	NA	0.28	0.56	0.81	0.52	0.72	0.58	0.57	NA	0.33	0.36	NA	0.51
NM_003403|YY1|chr14|+	chr14:100743754-100749131	100744880	0.45	0.27	0.12	0.49	0.10	0.23	0.21	0.20	0.28	0.15	0.15	0.25	0.24	0.37	0.32	0.27	0.27	0.18	0.30	0.30	0.17
NM_006449|CDC42EP3|chr2|-	chr2:37869056-37873965	37872363	0.35	0.45	0.24	NA	0.41	0.40	0.28	0.26	NA	0.25	0.44	0.57	0.31	0.29	0.37	0.44	0.43	0.38	0.42	0.40	0.42
NR_024537|GSTM3|chr1|-	chr1:110278809-110279791	110279635	0.11	0.10	0.11	0.05	0.10	0.14	0.26	0.18	0.30	0.09	0.08	0.11	0.07	0.09	0.17	0.07	0.11	0.09	0.13	0.09	0.09
NM_020696|KIAA1143|chr3|-	chr3:44790223-44795044	44794797	0.62	0.36	0.14	0.07	0.30	0.37	0.56	0.48	NA	0.28	0.45	0.44	0.43	0.63	0.65	0.57	0.50	0.32	0.52	0.36	0.38
NM_006827|TMED10|chr14|-	chr14:75598151-75601709	75601023	0.40	0.27	0.23	0.11	0.26	0.38	0.37	0.41	0.55	0.27	0.43	0.26	0.37	0.48	0.51	0.47	0.41	0.19	0.44	0.35	0.31
NM_006321|ARIH2|chr3|+	chr3:49020631-49023271	49020834	0.68	0.45	0.32	0.71	0.49	0.72	0.41	0.43	NA	0.51	0.60	0.66	0.68	0.64	0.75	0.64	0.62	0.55	0.62	0.40	0.56
NM_018697|LANCL2|chr7|+	chr7:55498918-55501621	55499184	0.46	0.23	0.21	0.12	0.23	0.38	NA	NA	NA	0.12	0.43	0.66	0.22	0.38	0.49	0.34	0.29	0.24	0.31	0.20	0.25
NM_001198954|RNF103-CHMP3|chr2|-	chr2:86729466-86733072	86730639	0.09	0.06	0.05	0.17	0.10	0.08	0.07	0.07	0.23	0.05	0.08	0.14	0.08	0.10	0.10	0.06	0.07	0.09	0.07	0.08	0.10
NM_153188|TNPO1|chr5|+	chr5:72204535-72210237	72206129	0.60	0.51	0.23	0.18	0.40	0.62	0.60	0.53	0.76	0.45	0.56	0.25	0.38	0.46	0.65	0.47	0.76	0.45	0.64	0.37	0.35
NM_024300|CHCHD7|chr8|+	chr8:57129889-57131152	57130039	0.74	0.35	0.24	0.31	0.54	0.73	0.28	0.32	NA	0.53	0.33	0.62	0.43	0.31	0.68	0.38	0.53	0.40	0.50	0.42	0.42
