event_id	loci	Proximal_Site	TCGA-E9-A1RC-01A-11R-A157-07	TCGA-BH-A18N-01A-11R-A12D-07	TCGA-E9-A1R7-01A-11R-A14M-07	TCGA-GI-A2C9-01A-11R-A21T-07	TCGA-BH-A0AZ-01A-21R-A12P-07	TCGA-BH-A0DH-01A-11R-A084-07	TCGA-BH-A0B8-01A-21R-A056-07	TCGA-BH-A1EV-01A-11R-A137-07	TCGA-E9-A1RH-01A-21R-A169-07	TCGA-E9-A1NA-01A-11R-A144-07	TCGA-BH-A0BM-01A-11R-A056-07	TCGA-E2-A1L7-01A-11R-A144-07	TCGA-BH-A0BV-01A-11R-A00Z-07	TCGA-BH-A18S-01A-11R-A12D-07	TCGA-BH-A0DP-01A-21R-A056-07	TCGA-BH-A0BZ-01A-31R-A12P-07	TCGA-BH-A0H9-01A-11R-A056-07	TCGA-BH-A18P-01A-11R-A12D-07	TCGA-BH-A18U-01A-21R-A12D-07	TCGA-BH-A0BT-01A-11R-A12P-07	TCGA-BH-A0E1-01A-11R-A056-07	TCGA-AC-A23H-01A-11R-A157-07	TCGA-BH-A209-01A-11R-A157-07	TCGA-BH-A0DK-01A-21R-A056-07	TCGA-E9-A1RF-01A-11R-A157-07	TCGA-BH-A203-01A-12R-A169-07	TCGA-BH-A18L-01A-32R-A12D-07	TCGA-A7-A0DC-01A-11R-A00Z-07	TCGA-A7-A0DC-01B-04R-A22O-07	TCGA-AC-A2FF-01A-11R-A17B-07	TCGA-BH-A0AY-01A-21R-A00Z-07	TCGA-BH-A1FC-01A-11R-A13Q-07	TCGA-E2-A153-01A-12R-A12D-07	TCGA-BH-A0BA-01A-11R-A056-07	TCGA-BH-A0E0-01A-11R-A056-07	TCGA-BH-A0DT-01A-21R-A12D-07	TCGA-BH-A18R-01A-11R-A12D-07	TCGA-E9-A1N9-01A-11R-A14D-07	TCGA-E2-A15I-01A-21R-A137-07	TCGA-AC-A2FB-01A-11R-A17B-07	TCGA-BH-A0BQ-01A-21R-A115-07	TCGA-BH-A0B7-01A-12R-A115-07	TCGA-BH-A0C3-01A-21R-A12P-07	TCGA-BH-A18Q-01A-12R-A12D-07	TCGA-E9-A1N6-01A-11R-A144-07	TCGA-BH-A18J-01A-11R-A12D-07	TCGA-E2-A1LB-01A-11R-A144-07	TCGA-A7-A0DB-01A-11R-A277-07	TCGA-A7-A0DB-01A-11R-A00Z-07	TCGA-A7-A0DB-01C-02R-A277-07	TCGA-BH-A1F2-01A-31R-A13Q-07	TCGA-A7-A13G-01B-04R-A22O-07	TCGA-A7-A13G-01A-11R-A13Q-07	TCGA-BH-A0B5-01A-11R-A12P-07	TCGA-BH-A18V-01A-11R-A12D-07	TCGA-BH-A1EN-01A-11R-A13Q-07	TCGA-BH-A18M-01A-11R-A12D-07	TCGA-BH-A0BS-01A-11R-A12P-07	TCGA-BH-A0HA-01A-11R-A12P-07	TCGA-BH-A0DL-01A-11R-A115-07	TCGA-BH-A204-01A-11R-A157-07	TCGA-BH-A1FU-01A-11R-A14D-07	TCGA-A7-A0CE-01A-11R-A00Z-07	TCGA-E2-A15M-01A-11R-A12D-07	TCGA-E9-A1RD-01A-11R-A157-07	TCGA-BH-A0BJ-01A-11R-A056-07	TCGA-BH-A0BW-01A-11R-A115-07	TCGA-BH-A0C0-01A-21R-A056-07	TCGA-BH-A18K-01A-11R-A12D-07	TCGA-E9-A1ND-01A-11R-A144-07	TCGA-BH-A0BC-01A-22R-A084-07	TCGA-BH-A1EU-01A-11R-A137-07	TCGA-A7-A0CH-01A-21R-A00Z-07	TCGA-E9-A1RB-01A-11R-A157-07	TCGA-BH-A208-01A-11R-A157-07	TCGA-BH-A0H5-01A-21R-A115-07	TCGA-BH-A0HK-01A-11R-A056-07	TCGA-E2-A1LS-01A-12R-A157-07	TCGA-E2-A1BC-01A-11R-A12P-07	TCGA-A7-A0D9-01A-31R-A056-07	TCGA-BH-A0DO-01B-11R-A12D-07	TCGA-BH-A0H7-01A-13R-A056-07	TCGA-A7-A13F-01A-11R-A12P-07	TCGA-A7-A13E-01A-11R-A277-07	TCGA-A7-A13E-01B-06R-A277-07	TCGA-A7-A13E-01A-11R-A12P-07	TCGA-BH-A0DZ-01A-11R-A00Z-07	TCGA-E9-A1RI-01A-11R-A169-07	TCGA-E2-A15K-01A-11R-A12P-07	TCGA-BH-A0DG-01A-21R-A12P-07	TCGA-E9-A1NF-01A-11R-A14D-07	TCGA-E2-A1IG-01A-11R-A144-07	TCGA-E2-A158-01A-11R-A12D-07	TCGA-BH-A0AU-01A-11R-A12P-07	TCGA-BH-A1FN-01A-11R-A13Q-07	TCGA-BH-A0DQ-01A-11R-A084-07	TCGA-BH-A0DV-01A-21R-A12P-07	TCGA-E9-A1N5-01A-11R-A14D-07	TCGA-BH-A0DD-01A-31R-A12P-07	TCGA-E2-A1LH-01A-11R-A14D-07	TCGA-E9-A1NG-01A-21R-A14M-07	TCGA-BH-A1EO-01A-11R-A137-07	TCGA-E9-A1N4-01A-11R-A14M-07	TCGA-BH-A1FB-01A-11R-A13Q-07	TCGA-GI-A2C8-01A-11R-A16F-07
NM_003099|SNX1|chr15|+	chr15:64429766-64436346	64430071	0.05	0.09	0.12	0.12	0.04	0.03	0.09	0.08	0.06	0.05	0.04	0.07	0.06	0.04	0.12	0.04	0.06	0.07	0.06	0.02	0.04	0.04	0.05	0.04	0.04	0.04	0.07	0.13	NA	0.16	0.04	0.04	0.06	0.10	0.04	0.09	0.14	0.12	0.14	0.13	0.04	0.07	0.11	0.22	0.05	0.05	0.02	0.16	0.07	0.26	0.04	0.24	0.09	0.10	0.06	0.07	0.09	0.06	0.02	0.05	0.05	0.11	0.08	0.08	0.04	0.09	0.08	0.05	0.02	0.03	0.04	0.14	0.08	0.04	0.07	0.09	0.10	0.04	0.08	0.10	0.16	0.06	0.03	0.09	0.24	0.06	0.04	0.06	0.05	0.07	0.04	0.12	0.15	0.09	0.07	0.08	0.08	0.14	0.09	0.03	0.07	0.13	0.09	0.16	0.10
NM_003681|PDXK|chr21|+	chr21:45175831-45182304	45175999	0.23	0.19	0.34	0.21	0.14	0.11	0.19	0.21	0.30	0.16	0.14	0.20	0.12	0.08	0.25	0.13	0.27	0.37	0.15	0.10	0.16	0.08	0.30	0.06	0.12	0.21	0.26	0.11	NA	0.50	0.17	0.26	0.10	0.31	0.14	0.35	0.19	0.27	0.45	0.48	0.18	0.22	0.15	0.31	0.14	0.20	0.13	0.29	0.18	NA	0.41	NA	0.32	0.23	0.40	0.27	0.23	0.27	0.05	0.15	0.48	0.28	0.37	0.34	0.35	0.19	0.27	0.14	0.11	0.23	0.08	0.42	0.19	0.37	0.28	0.24	0.29	0.34	0.28	0.42	0.35	0.19	0.07	0.32	NA	0.32	0.09	0.29	0.19	0.17	0.10	0.11	0.42	0.25	0.38	0.18	0.18	0.36	0.21	0.16	0.15	0.43	0.20	0.44	0.33
NM_016185|HN1|chr17|-	chr17:73131327-73132345	73132124	0.35	0.64	0.81	0.47	0.51	0.31	0.53	0.34	0.31	0.24	0.58	0.39	0.43	0.35	0.51	0.38	0.50	0.40	0.42	0.45	0.40	0.27	0.51	0.40	0.33	0.30	0.44	0.64	NA	0.55	0.39	0.51	0.52	0.46	0.21	0.61	0.36	0.60	0.63	0.51	0.41	0.54	0.15	0.61	0.41	0.45	0.44	0.37	0.38	NA	0.91	0.85	0.48	0.45	0.40	0.41	0.56	0.56	0.43	0.35	0.79	0.37	0.46	0.70	0.49	0.53	0.50	0.37	0.29	0.29	0.40	0.62	0.66	0.52	0.60	0.45	0.61	0.69	0.66	0.57	0.58	0.58	0.37	0.33	NA	0.35	0.52	0.68	0.48	0.22	0.40	0.58	0.60	0.53	0.49	0.46	0.55	0.75	0.49	0.52	0.45	0.69	0.48	0.61	0.51
NM_000089|COL1A2|chr7|+	chr7:94059558-94060522	94059932	0.66	0.68	0.61	0.58	0.58	0.60	0.38	0.59	0.70	0.71	0.64	0.62	0.48	0.55	0.70	0.60	0.73	0.70	0.66	0.63	0.52	0.66	0.51	0.37	0.65	0.67	0.59	0.61	0.20	0.57	0.49	0.65	0.58	0.60	0.60	0.66	0.71	0.66	0.66	0.52	0.58	0.57	0.59	0.48	0.64	0.71	0.66	0.59	0.69	0.87	0.67	0.17	0.70	0.61	0.64	0.63	0.65	0.66	0.70	0.68	0.67	0.58	0.57	0.64	0.69	0.64	0.69	0.63	0.60	0.66	0.74	0.65	0.70	0.64	0.53	0.54	0.36	0.55	0.73	0.36	0.65	0.65	0.56	0.62	0.94	0.66	0.69	0.70	0.61	0.63	0.66	0.63	0.67	0.59	0.71	0.64	0.54	0.65	0.60	0.50	0.55	0.66	0.66	0.62	0.60
NM_032815|NFATC2IP|chr16|+	chr16:28975025-28978412	28975954	0.40	0.58	0.60	0.71	0.72	0.39	0.87	0.58	0.21	0.23	0.80	0.76	0.74	0.76	0.62	0.49	0.60	0.56	0.44	0.67	0.78	0.43	0.56	0.78	0.64	0.72	0.61	0.85	NA	0.74	0.70	0.44	0.77	0.65	0.45	0.83	0.52	0.73	0.78	0.76	0.65	0.53	0.31	0.73	0.58	0.41	0.59	0.60	0.45	NA	0.78	0.68	0.60	0.53	0.34	0.68	0.61	0.74	0.78	0.36	0.84	0.50	0.67	0.57	0.56	0.54	0.50	0.43	0.48	0.43	0.47	0.65	0.73	0.45	0.88	0.68	0.91	0.98	0.81	0.90	0.73	0.77	0.69	0.41	NA	0.36	0.61	0.84	0.63	0.41	0.48	0.98	0.76	0.79	0.47	0.76	0.66	0.69	0.65	0.87	0.56	0.79	0.75	0.61	0.81
NM_017994|C7orf42|chr7|+	chr7:66420488-66423538	66421045	0.46	0.66	0.51	0.44	0.55	0.43	0.64	0.41	0.27	0.31	0.56	0.46	0.57	0.43	0.53	0.44	0.55	0.51	0.46	0.47	0.53	0.34	0.34	0.52	0.41	0.34	0.47	0.77	0.33	0.66	0.40	0.29	0.50	0.61	0.24	0.65	0.43	0.43	0.73	0.64	0.45	0.45	0.34	0.61	0.44	0.41	0.50	0.38	0.49	0.68	0.55	0.24	0.50	0.49	0.37	0.64	0.57	0.45	0.51	0.33	0.63	0.48	0.57	0.55	0.40	0.49	0.43	0.41	0.41	0.37	0.48	0.65	0.60	0.48	0.58	0.59	0.58	0.53	0.70	0.74	0.63	0.55	0.50	0.24	0.68	0.23	0.44	0.74	0.60	0.34	0.44	0.56	0.63	0.64	0.28	0.56	0.52	0.68	0.53	0.36	0.61	0.60	0.61	0.61	0.61
NM_002754|MAPK13|chr6|+	chr6:36107070-36110929	36107790	0.20	0.31	0.50	0.30	0.30	0.19	0.37	0.58	0.15	0.20	0.21	0.20	0.20	0.29	0.39	0.21	0.13	0.30	0.41	0.07	0.20	0.14	0.19	0.13	0.28	0.17	0.23	0.35	NA	0.27	0.10	0.19	0.25	0.15	0.07	0.25	0.36	0.32	0.43	0.42	0.21	0.25	0.17	0.23	0.16	0.10	0.16	0.30	0.22	NA	0.56	0.56	0.41	0.33	0.37	0.12	0.39	0.24	0.11	0.10	0.26	0.14	0.19	0.37	0.33	0.23	0.28	0.27	0.11	0.06	0.10	0.42	0.42	0.26	0.08	0.28	0.37	0.17	0.30	0.30	0.41	0.22	0.23	0.33	NA	0.28	0.14	0.36	0.24	0.18	0.15	0.47	0.12	0.39	0.27	0.29	0.21	0.38	0.70	0.13	0.17	0.31	0.28	0.37	0.39
NM_153029|N4BP1|chr16|-	chr16:48572622-48577172	48576652	0.32	0.46	0.53	0.29	0.35	0.38	0.43	0.41	0.23	0.28	0.29	0.33	0.34	0.29	0.51	0.30	0.47	0.52	0.17	0.16	0.46	0.32	0.19	0.41	0.46	0.38	0.39	0.64	NA	0.46	0.21	0.18	0.32	0.43	0.21	0.57	0.56	0.27	0.51	0.55	0.40	0.38	0.37	0.50	0.22	0.23	0.32	0.23	0.52	NA	0.31	NA	0.61	0.54	0.19	0.59	0.37	0.43	0.19	0.24	0.35	0.26	0.42	0.28	0.40	0.46	0.22	0.24	0.25	0.20	0.35	0.51	0.55	0.26	0.32	0.45	0.42	0.46	0.39	0.37	0.62	0.58	0.40	0.19	NA	0.31	0.34	0.38	0.46	0.35	0.20	0.62	0.54	0.45	0.30	0.46	0.44	0.38	0.35	0.12	0.31	0.42	0.35	0.46	0.46
NM_030821|PLA2G12A|chr4|-	chr4:110630692-110635651	110635207	0.42	0.57	0.56	0.43	0.47	0.27	0.52	0.42	0.24	0.25	0.44	0.42	0.30	0.53	0.44	0.32	0.37	0.46	0.48	0.25	0.33	0.38	0.41	0.31	0.45	0.40	0.49	0.75	0.45	0.51	0.27	0.51	0.51	0.50	0.23	0.54	0.66	0.51	0.54	0.60	0.34	0.46	0.33	0.75	0.52	0.41	0.43	0.40	0.34	0.64	0.41	0.45	0.54	0.46	0.27	0.56	0.40	0.45	0.38	0.18	0.67	0.28	0.32	0.39	0.44	0.47	0.44	0.35	0.30	0.18	0.37	0.65	0.58	0.24	0.48	0.39	0.54	0.60	0.54	0.58	0.61	0.57	0.44	0.46	NA	0.38	0.55	0.51	0.39	0.30	0.36	0.62	0.64	0.56	0.29	0.39	0.35	0.54	0.52	0.28	0.33	0.69	0.49	0.59	0.66
NM_001195214|YIPF6|chrX|+	chrX:67751722-67757143	67754490	0.29	0.58	0.38	0.33	0.72	0.40	0.46	0.39	0.23	0.24	0.70	0.50	0.34	0.43	0.58	0.39	0.56	0.43	0.29	0.59	0.51	0.37	0.36	0.60	0.48	0.47	0.35	0.66	NA	0.75	0.42	0.47	0.50	0.46	0.30	0.66	0.45	0.50	0.54	0.62	0.54	0.35	0.34	0.47	0.34	0.45	0.56	0.30	0.42	NA	0.55	NA	0.47	0.52	0.28	0.48	0.43	0.44	0.62	0.27	0.68	0.34	0.64	0.41	0.52	0.41	0.25	0.35	0.37	0.42	0.39	0.46	0.49	0.43	0.64	0.68	0.60	0.90	0.73	0.51	0.61	0.34	0.51	0.18	NA	0.26	0.53	0.81	0.62	0.39	0.61	0.56	0.70	0.54	0.21	0.46	0.56	0.63	0.42	0.59	0.49	0.47	0.41	0.56	0.45
