event_id	loci	Proximal_Site	TCGA-CV-7235-01A-11R-2016-07	TCGA-CV-6962-01A-11R-1915-07	TCGA-HD-A6I0-01A-11R-A31N-07	TCGA-CV-7255-01A-11R-2016-07	TCGA-CV-6935-01A-11R-1915-07	TCGA-CV-6939-01A-11R-1915-07	TCGA-CV-7250-01A-11R-2016-07	TCGA-CV-6936-01A-11R-1915-07	TCGA-CV-6938-01A-11R-1915-07	TCGA-CV-7440-01A-11R-2132-07	TCGA-CV-7425-01A-11R-2081-07	TCGA-CV-7177-01A-11R-2016-07	TCGA-CV-6933-01A-11R-1915-07	TCGA-CV-6955-01A-11R-2016-07	TCGA-CV-7091-01A-11R-2016-07	TCGA-CV-6960-01A-41R-2016-07	TCGA-CV-7261-01A-11R-2016-07	TCGA-CV-7432-01A-11R-2132-07	TCGA-CV-7252-01A-11R-2016-07	TCGA-CV-6934-01A-11R-1915-07	TCGA-CV-7434-01A-11R-2132-07	TCGA-CV-7183-01A-11R-2016-07	TCGA-CV-6956-01A-21R-2016-07	TCGA-HD-A6HZ-01A-12R-A31N-07	TCGA-CV-7438-01A-21R-2132-07	TCGA-CV-7103-01A-21R-2016-07	TCGA-CV-7097-01A-11R-2016-07	TCGA-CV-7101-01A-11R-2016-07	TCGA-CV-6959-01A-11R-1915-07	TCGA-CV-7437-01A-21R-2132-07	TCGA-HD-8635-01A-11R-2403-07	TCGA-CV-7424-01A-11R-2081-07	TCGA-CV-7242-01A-11R-2016-07	TCGA-CV-7406-01A-11R-2081-07	TCGA-WA-A7GZ-01A-11R-A34R-07	TCGA-H7-A6C4-01A-11R-A30B-07	TCGA-CV-7178-01A-21R-2016-07	TCGA-CV-7238-01A-11R-2016-07	TCGA-CV-7423-01A-11R-2081-07	TCGA-CV-7245-01A-11R-2016-07	TCGA-CV-6943-01A-11R-1915-07	TCGA-CV-7416-01A-11R-2081-07	TCGA-CV-6961-01A-21R-1915-07
NM_000089|COL1A2|chr7|+	chr7:94059558-94060536	94060000	0.55	0.62	0.55	0.59	0.59	0.54	0.58	0.60	0.78	0.54	0.59	0.56	0.68	0.71	0.56	0.54	0.65	0.62	0.61	0.54	0.57	0.67	0.63	0.64	0.58	0.53	0.58	0.47	0.52	0.65	0.53	0.55	0.40	0.59	0.63	0.67	0.60	0.70	0.54	0.59	0.58	0.56	0.58
NM_001196|BID|chr22|-	chr22:18216072-18218357	18218198	0.21	0.15	0.19	0.28	0.27	0.36	0.22	0.27	0.29	0.18	0.30	0.23	0.15	0.21	0.23	0.19	0.17	0.21	0.27	0.29	0.21	0.27	0.25	0.27	0.31	0.18	0.32	0.27	0.20	0.21	0.28	0.33	0.26	0.28	0.17	0.22	0.29	0.21	0.25	0.18	0.25	0.23	0.14
NM_145267|C6orf57|chr6|+	chr6:71298317-71299279	71298467	NA	0.75	0.89	NA	0.65	0.63	0.50	0.47	0.66	0.46	NA	0.66	0.50	NA	NA	0.73	0.42	NA	NA	NA	NA	NA	NA	NA	0.44	0.75	0.34	0.50	NA	0.50	0.70	0.77	0.72	0.69	NA	NA	0.35	0.61	NA	0.43	NA	0.41	0.42
NM_197960|DPP8|chr15|-	chr15:65734786-65739344	65739090	0.51	0.42	NA	0.66	0.69	0.76	0.59	0.74	0.64	0.58	0.63	0.68	0.55	0.58	0.55	NA	0.47	0.53	0.64	0.70	0.47	0.62	0.81	0.70	0.62	0.55	0.73	0.56	0.50	0.46	0.62	0.53	0.64	0.48	0.50	NA	0.63	0.61	0.50	0.60	0.60	0.54	0.50
NM_016612|SLC25A37|chr8|+	chr8:23428847-23432979	23429629	0.29	NA	0.19	NA	NA	0.49	0.30	0.57	0.57	0.48	0.46	NA	0.27	0.50	0.27	0.27	NA	0.27	0.40	0.48	NA	NA	0.47	0.62	0.52	NA	0.30	NA	0.31	NA	0.49	0.37	0.24	0.37	0.31	0.52	0.41	0.44	0.48	0.30	NA	NA	0.30
NM_012474|UCK2|chr1|+	chr1:165876920-165880831	165877275	0.19	0.11	0.03	0.28	0.45	0.46	0.25	0.31	0.13	0.20	0.26	0.23	0.19	0.26	0.24	0.19	0.18	0.20	0.13	0.16	0.30	0.24	0.29	0.36	0.28	0.16	0.32	0.24	0.29	0.14	0.29	0.12	0.14	0.28	0.29	0.21	0.34	0.24	0.16	0.25	0.21	0.33	0.20
NM_018319|TDP1|chr14|+	chr14:90509413-90511098	90509611	0.23	0.13	0.08	0.31	0.38	0.50	0.34	0.38	0.30	0.28	0.46	0.41	0.32	0.41	0.36	0.20	0.23	0.32	0.28	0.35	0.35	0.31	0.28	0.33	0.38	0.26	0.38	NA	0.32	0.19	0.38	NA	NA	NA	0.24	0.30	0.35	0.32	0.30	0.19	NA	0.54	0.22
NM_001255976|PMEPA1|chr20|-	chr20:56223446-56227654	56227078	0.31	NA	0.40	0.95	0.50	0.64	0.38	0.72	0.63	0.79	0.91	0.72	0.49	NA	0.48	0.40	0.63	0.49	0.55	0.54	0.37	0.96	0.76	0.86	0.66	0.55	0.56	0.53	0.37	0.75	0.68	0.64	0.46	0.54	0.50	0.67	0.66	0.59	0.89	0.63	0.45	0.60	0.39
NM_032348|MXRA8|chr1|-	chr1:1286846-1289009	1288122	0.02	0.10	0.05	0.29	0.03	0.08	0.19	0.07	0.14	0.02	0.12	0.02	0.03	NA	0.05	0.02	0.03	0.04	0.02	0.01	0.09	0.16	0.03	0.06	0.05	0.02	0.02	0.06	0.07	0.06	0.04	0.02	0.07	0.04	0.21	0.26	0.02	0.12	0.07	0.02	0.03	0.02	0.04
NM_000430|PAFAH1B1|chr17|+	chr17:2585022-2588912	2585172	0.25	0.29	0.12	0.51	0.48	0.66	0.41	0.40	0.41	0.39	0.48	0.58	0.26	0.51	0.39	0.32	0.56	0.40	0.27	0.55	0.41	0.45	0.32	0.51	0.56	0.44	0.50	0.52	0.46	0.32	0.58	0.28	0.56	0.50	0.18	0.34	0.38	0.41	0.34	0.49	0.56	0.60	0.30
