event_id	loci	Proximal_Site	TCGA-77-8008-01A-21R-2187-07	TCGA-51-4081-01A-01R-1100-07	TCGA-90-6837-01A-11R-1949-07	TCGA-56-8201-01A-11R-2247-07	TCGA-77-7138-01A-41R-2045-07	TCGA-22-5482-01A-01R-1635-07	TCGA-51-4079-01A-01R-1100-07	TCGA-56-8083-01A-11R-2247-07	TCGA-77-7338-01A-11R-2045-07	TCGA-56-7731-01A-11R-2125-07	TCGA-77-7335-01A-11R-2045-07	TCGA-33-6737-01A-11R-1820-07	TCGA-58-8386-01A-11R-2296-07	TCGA-56-8623-01A-11R-A28V-07	TCGA-85-7710-01A-11R-2125-07	TCGA-22-4609-01A-21R-2125-07	TCGA-43-6647-01A-11R-1820-07	TCGA-22-5472-01A-01R-1635-07	TCGA-77-7337-01A-21R-2045-07	TCGA-43-7657-01A-31R-2125-07	TCGA-22-5481-01A-31R-1949-07	TCGA-22-5478-01A-01R-1635-07	TCGA-22-5483-01A-01R-1820-07	TCGA-22-5489-01A-01R-1635-07	TCGA-77-7142-01A-11R-2045-07	TCGA-43-7658-01A-11R-2125-07	TCGA-56-7582-01A-11R-2045-07	TCGA-43-6143-01A-11R-1820-07	TCGA-39-5040-01A-21R-2125-07	TCGA-43-3394-01A-01R-0980-07	TCGA-56-8309-01A-11R-2296-07	TCGA-22-5491-01A-01R-1635-07	TCGA-90-7767-01A-11R-2125-07	TCGA-92-7340-01A-21R-2045-07	TCGA-43-6773-01A-41R-1949-07	TCGA-56-7730-01A-11R-2125-07	TCGA-34-8454-01A-11R-2326-07	TCGA-33-4587-01A-11R-2125-07	TCGA-43-6771-01A-11R-1820-07	TCGA-60-2709-01A-21R-1820-07	TCGA-56-7580-01A-11R-2045-07	TCGA-77-8007-01A-11R-2187-07	TCGA-56-7823-01B-11R-2247-07	TCGA-51-4080-01A-01R-1100-07	TCGA-43-5670-01A-21R-2125-07	TCGA-22-4593-01A-21R-1820-07	TCGA-56-7579-01A-11R-2045-07	TCGA-22-5471-01A-01R-1635-07	TCGA-34-7107-01A-11R-1949-07	TCGA-56-8082-01A-11R-2247-07	TCGA-56-7222-01A-11R-2045-07
NM_015045|WAPAL|chr10|-	chr10:88195015-88197365	88196841	0.36	0.49	0.34	0.58	0.49	0.36	0.42	0.59	0.60	0.55	0.51	0.24	0.45	0.64	0.45	0.53	0.45	0.54	0.41	0.46	0.34	0.31	0.43	0.47	0.47	0.72	0.51	0.29	0.46	0.35	0.54	0.44	0.43	0.44	0.44	0.48	0.51	0.47	0.28	0.48	0.57	0.45	0.44	0.47	0.50	0.42	0.39	0.37	0.44	0.54	0.53
NM_206831|DPH3|chr3|-	chr3:16299459-16302336	16302074	0.36	0.30	0.30	0.30	0.26	0.39	0.23	0.39	0.38	0.34	0.34	0.14	0.35	0.46	0.27	0.34	0.31	0.48	0.24	0.29	0.24	0.33	0.26	0.31	0.27	0.32	0.41	0.27	0.23	0.20	0.31	0.28	0.23	0.26	0.30	0.20	0.41	0.52	0.18	0.36	0.29	0.26	0.18	0.23	0.18	0.43	0.16	0.17	0.28	0.35	0.17
NM_033109|PNPT1|chr2|-	chr2:55861246-55863527	55863313	0.15	0.17	0.23	0.25	0.08	0.24	0.18	0.20	0.29	0.20	0.13	0.11	0.37	0.45	0.15	0.20	0.16	0.33	0.11	0.22	0.18	0.11	0.10	0.28	0.12	0.18	0.19	0.09	0.18	0.14	0.31	0.14	0.11	0.13	0.25	0.14	0.23	0.14	0.14	0.34	0.26	0.19	0.14	0.22	0.13	0.31	0.14	0.17	0.24	0.17	0.09
NM_020248|CTNNBIP1|chr1|-	chr1:9908341-9910834	9910199	0.40	0.37	0.41	0.61	0.45	0.90	0.51	1.00	0.81	0.50	0.51	0.35	0.71	1.00	0.59	0.46	0.79	0.83	0.29	0.95	1.00	0.92	0.46	0.92	0.47	1.00	0.27	0.50	0.73	0.56	0.95	0.34	0.56	0.19	0.64	0.39	0.97	0.83	0.38	1.00	0.45	0.77	0.32	0.53	0.45	0.96	0.31	0.33	0.46	0.48	0.28
NM_152219|GJD3|chr17|-	chr17:38519328-38520945	38520316	NA	0.49	0.32	0.79	0.22	NA	0.34	0.44	0.32	0.50	0.22	0.38	0.54	0.62	0.51	0.68	NA	0.37	0.24	0.46	0.36	0.45	0.52	0.43	0.14	0.53	0.28	0.41	0.44	0.40	NA	0.44	0.61	0.25	0.58	0.36	0.57	0.44	0.50	0.58	0.22	0.67	0.47	0.34	0.35	0.47	0.25	0.36	0.41	0.51	0.43
NM_007045|FGFR1OP|chr6|+	chr6:167453391-167455866	167453677	0.24	0.62	0.38	0.43	0.19	0.32	0.24	0.29	0.32	0.32	0.22	0.13	0.39	NA	0.27	0.51	0.32	0.45	0.23	0.35	0.27	0.27	0.40	NA	0.21	0.42	NA	0.20	0.27	0.36	0.33	0.35	0.22	0.21	0.31	0.45	0.36	0.32	NA	NA	0.59	0.21	0.22	0.42	0.31	0.30	0.33	0.33	0.32	0.40	0.37
NM_001085468|CTNND1|chr11|+	chr11:57583768-57586654	57585831	0.26	0.18	0.25	0.38	0.45	0.25	0.32	0.14	0.32	0.42	0.72	0.30	0.18	0.52	0.24	0.20	0.17	0.31	0.30	0.24	0.26	0.14	0.20	0.19	0.29	0.27	0.27	0.08	0.21	0.14	0.27	0.21	0.18	0.41	0.25	0.42	0.23	0.20	0.27	0.27	0.31	0.29	0.22	0.21	0.37	0.21	0.35	0.27	0.19	0.17	0.47
NM_153271|SNX33|chr15|+	chr15:75949302-75954605	75950922	0.20	0.16	0.13	0.08	0.13	0.09	0.07	0.17	0.14	0.16	0.10	0.17	0.26	0.42	0.22	0.18	0.16	0.16	0.16	0.13	NA	0.11	0.16	0.10	0.14	0.25	0.06	0.24	0.22	0.11	0.23	0.04	NA	0.07	0.16	0.12	0.18	0.26	0.09	0.12	0.10	0.25	0.11	0.07	0.09	0.23	0.09	0.08	0.16	0.09	0.13
NM_016185|HN1|chr17|-	chr17:73131351-73132345	73132124	0.32	0.37	0.32	0.32	0.29	0.48	0.43	0.29	0.45	0.31	0.31	0.17	0.28	0.45	0.40	0.38	0.38	0.39	0.37	0.42	0.35	0.30	0.33	0.37	0.39	0.53	0.29	0.21	0.33	0.33	0.44	0.30	0.25	0.27	0.31	0.27	0.40	0.44	0.24	0.39	0.35	0.30	0.22	0.43	0.23	0.41	0.24	0.23	0.28	0.25	0.25
NM_021079|NMT1|chr17|+	chr17:43182986-43186375	43183201	0.44	0.37	0.41	0.37	0.41	0.35	0.31	0.42	0.46	0.34	0.21	0.25	0.41	0.54	0.60	0.45	0.40	0.48	0.29	0.41	0.32	0.48	0.48	0.41	0.39	0.65	0.47	0.32	0.33	0.31	0.43	0.29	0.35	0.23	0.61	0.24	0.42	0.61	0.42	0.30	0.42	0.40	0.33	0.40	0.23	0.53	0.36	0.23	0.36	0.30	0.37
NM_000089|COL1A2|chr7|+	chr7:94059558-94060528	94059956	0.56	0.59	0.50	0.55	0.68	0.62	0.64	0.38	0.58	0.53	0.55	0.50	0.48	0.25	0.58	0.53	0.55	0.48	0.54	0.62	0.46	0.52	0.55	0.58	0.55	0.54	0.54	0.60	0.42	0.60	0.54	0.58	0.64	0.67	0.49	0.33	0.49	0.65	0.54	0.57	0.78	0.57	0.52	0.50	0.63	0.55	0.62	0.60	0.61	0.55	0.56
NM_014982|PCNX|chr14|+	chr14:71576511-71582092	71576855	0.25	0.33	0.15	0.28	0.25	0.22	0.36	0.15	0.35	0.24	0.22	0.14	0.34	0.40	0.27	0.31	0.24	0.33	0.28	0.40	NA	0.12	0.27	NA	0.22	0.34	0.29	0.13	0.26	0.41	0.25	0.24	0.18	0.22	NA	0.15	0.26	0.24	0.20	NA	0.26	0.34	0.22	0.27	0.11	0.27	0.22	0.13	0.22	0.21	0.28
NM_016329|SFMBT1|chr3|-	chr3:52933242-52939292	52938700	NA	0.17	NA	0.25	0.17	NA	0.15	0.15	NA	0.19	0.13	0.17	NA	0.36	NA	NA	0.26	NA	0.20	NA	0.11	0.15	0.20	NA	0.19	0.21	NA	0.15	0.19	0.13	0.22	NA	NA	0.12	0.17	0.13	0.23	0.11	0.14	0.22	0.20	0.24	NA	NA	0.14	0.21	NA	0.09	NA	NA	0.21
NM_005105|RBM8A|chr1|+	chr1:145509165-145513535	145509339	0.17	0.19	0.13	0.16	0.12	0.19	0.20	0.15	0.26	0.12	0.14	0.08	0.21	0.26	0.21	0.24	0.22	0.28	0.19	0.23	0.16	0.14	0.22	0.22	0.19	0.31	0.21	0.13	0.20	0.15	0.23	0.14	0.17	0.11	0.21	0.13	0.27	0.18	0.15	0.20	0.11	0.20	0.14	0.27	0.10	0.21	0.13	0.08	0.19	0.16	0.16
NM_004586|RPS6KA3|chrX|-	chrX:20168044-20173638	20173214	0.34	0.40	0.32	0.28	0.21	0.32	0.39	0.21	0.50	0.25	0.17	0.22	0.43	0.43	0.47	0.42	0.32	0.41	0.23	0.45	0.21	0.29	0.28	0.30	0.34	0.37	0.56	0.22	0.43	0.32	0.34	0.28	0.33	0.23	0.48	0.32	0.37	0.27	0.20	0.38	0.34	0.36	0.32	0.31	0.11	0.34	0.35	0.20	0.40	0.41	0.47
