event_id	loci	Proximal_Site	TCGA-GC-A3BM-01A-11R-A22U-07	TCGA-CU-A0YN-01A-21R-A10U-07	TCGA-K4-A3WV-01A-11R-A22U-07	TCGA-GC-A6I3-01A-11R-A31N-07	TCGA-BT-A20R-01A-12R-A16R-07	TCGA-BT-A20W-01A-21R-A14Y-07	TCGA-BL-A13J-01A-11R-A277-07	TCGA-BL-A13J-01A-11R-A10U-07	TCGA-BL-A13J-01B-04R-A277-07	TCGA-K4-A54R-01A-11R-A26T-07	TCGA-BT-A20Q-01A-11R-A14Y-07	TCGA-BT-A2LA-01A-11R-A18C-07	TCGA-K4-A5RI-01A-11R-A28M-07	TCGA-BT-A20U-01A-11R-A14Y-07	TCGA-GD-A3OP-01A-21R-A220-07	TCGA-GD-A3OQ-01A-32R-A220-07	TCGA-CU-A0YR-01A-12R-A10U-07	TCGA-GD-A2C5-01A-12R-A180-07	TCGA-GC-A3WC-01A-31R-A22U-07	TCGA-BT-A20N-01A-11R-A14Y-07	TCGA-BT-A2LB-01A-11R-A18C-07
NM_206831|DPH3|chr3|-	chr3:16299476-16302336	16302074	0.35	0.16	0.17	0.08	0.30	0.39	0.29	0.21	NA	0.18	0.34	0.64	0.26	0.40	0.47	0.30	0.40	0.28	0.45	0.18	0.29
NM_006201|CDK16|chrX|+	chrX:47088129-47089292	47088353	0.71	0.48	0.46	0.71	0.50	0.73	0.68	0.70	NA	0.60	0.70	0.30	0.61	0.49	0.61	0.63	0.72	0.65	0.50	0.53	0.35
NM_002634|PHB|chr17|-	chr17:47481422-47482566	47482247	0.25	0.15	0.17	0.14	0.22	0.23	0.18	0.18	0.37	0.20	0.31	0.30	0.19	0.31	0.37	0.25	0.18	0.20	0.28	0.15	0.15
NR_003249|HNRPDL|chr4|-	chr4:83344372-83346036	83345871	0.19	0.11	0.12	0.06	0.13	0.14	0.20	0.17	0.20	0.09	0.23	0.11	0.18	0.19	0.37	0.27	0.16	0.12	0.21	0.16	0.12
NM_031288|INO80B|chr2|+	chr2:74684460-74685525	74685051	0.92	0.21	0.34	0.12	0.08	0.91	NA	1.00	NA	0.33	0.17	0.50	0.45	0.18	0.37	0.28	0.26	0.29	0.89	0.96	0.21
NM_003099|SNX1|chr15|+	chr15:64429766-64436372	64430071	0.16	0.04	0.04	0.02	0.04	0.07	0.13	0.07	0.47	0.04	0.04	0.05	0.06	0.08	0.09	0.06	0.07	0.05	0.17	0.05	0.03
NM_033109|PNPT1|chr2|-	chr2:55861251-55863527	55863312	0.35	0.12	0.10	0.08	0.19	0.11	0.12	0.11	NA	0.14	0.22	0.14	0.27	0.32	0.45	0.25	0.18	0.14	0.21	0.16	0.19
NM_006313|USP15|chr12|+	chr12:62797972-62799897	62798320	0.22	0.11	0.11	0.09	0.20	0.13	0.16	0.12	0.33	0.11	0.17	0.24	0.17	0.21	0.21	0.19	0.19	0.13	0.23	0.10	0.15
NM_020248|CTNNBIP1|chr1|-	chr1:9908327-9910834	9910178	1.00	0.30	0.51	0.61	0.52	0.95	0.61	0.61	NA	0.67	0.57	0.95	0.94	0.77	1.00	0.63	0.88	0.48	0.66	0.35	0.48
NM_153271|SNX33|chr15|+	chr15:75949302-75957306	75950924	0.25	0.11	0.08	NA	0.06	0.14	0.25	0.19	0.75	0.06	0.05	0.15	0.09	0.13	0.14	0.10	0.14	0.24	0.16	0.15	0.08
NM_014165|NDUFAF4|chr6|-	chr6:97338082-97339267	97338938	0.05	0.04	0.02	0.03	0.06	0.04	NA	0.05	NA	0.02	0.16	0.12	0.05	0.06	0.08	0.08	0.05	0.04	0.09	0.02	0.03
NM_016185|HN1|chr17|-	chr17:73131347-73132345	73132124	0.36	0.28	0.22	0.17	0.27	0.35	0.35	0.35	0.80	0.20	0.45	0.50	0.31	0.39	0.45	0.44	0.37	0.30	0.31	0.32	0.26
NM_021079|NMT1|chr17|+	chr17:43182986-43186426	43183297	0.44	0.49	0.34	0.10	0.23	0.36	0.24	0.27	0.40	0.18	0.32	0.70	0.31	0.61	0.52	0.48	0.29	0.20	0.62	0.25	0.27
NM_000089|COL1A2|chr7|+	chr7:94059558-94060534	94059956	0.61	0.61	0.76	0.57	0.65	0.50	0.60	0.66	0.85	0.60	0.68	0.59	0.65	0.73	0.48	0.65	0.59	0.67	0.52	0.70	0.67
NM_014982|PCNX|chr14|+	chr14:71576511-71582102	71576854	0.38	0.29	0.12	0.04	0.29	0.24	NA	0.23	NA	0.26	0.34	0.22	0.25	0.37	0.38	0.42	0.44	0.23	0.26	0.22	0.21
NM_012318|LETM1|chr4|-	chr4:1813186-1816300	1816127	0.60	0.49	0.38	0.23	0.33	0.58	0.39	0.30	NA	0.46	0.68	0.76	0.68	0.63	0.59	0.57	0.35	0.47	0.68	0.58	0.50
NM_013411|AK2|chr1|-	chr1:33470939-33476434	33474565	0.07	0.05	0.05	0.23	0.06	0.15	0.04	0.03	0.15	0.06	0.04	0.11	0.08	0.05	0.06	0.05	0.05	0.09	0.09	0.10	0.06
NM_018999|FAM190B|chr10|+	chr10:86273204-86278280	86274159	0.56	0.37	0.25	NA	0.51	0.47	NA	0.44	NA	0.33	0.59	0.27	NA	0.57	0.52	0.46	0.43	0.42	NA	0.50	NA
NM_002687|PNN|chr14|+	chr14:39649706-39652621	39651101	0.29	0.21	0.37	NA	0.60	0.25	NA	0.28	NA	0.32	0.29	0.52	0.50	0.32	0.30	0.41	0.38	0.43	0.25	0.25	0.54
NM_032815|NFATC2IP|chr16|+	chr16:28975025-28978536	28975953	0.82	0.42	0.34	0.69	0.59	0.68	0.48	0.65	0.73	0.70	0.82	0.51	0.87	0.87	0.80	0.70	0.72	0.71	0.73	0.55	0.51
NM_001076684|UBTF|chr17|-	chr17:42281868-42284735	42284147	0.52	0.32	0.25	0.54	0.33	0.57	0.50	0.50	NA	0.37	0.45	0.29	0.49	0.27	0.52	0.51	0.62	0.53	0.46	0.45	0.41
NM_006191|PA2G4|chr12|+	chr12:56506606-56507680	56506861	0.40	0.27	0.20	0.17	0.35	0.37	0.31	0.30	1.00	0.38	0.36	0.56	0.29	0.35	0.38	0.35	0.35	0.38	0.27	0.27	0.21
NM_015132|SNX13|chr7|-	chr7:17830390-17833916	17833114	0.44	0.29	0.27	NA	0.37	0.35	0.25	0.27	NA	NA	0.41	0.40	0.42	0.43	0.48	0.38	0.50	0.36	0.37	0.22	0.44
NM_006888|CALM1|chr14|+	chr14:90871032-90874606	90871888	0.21	0.13	0.10	0.13	0.17	0.28	0.21	0.17	0.18	0.05	0.17	0.23	0.20	0.21	0.30	0.22	0.31	0.13	0.28	0.22	0.22
NM_000983|RPL22|chr1|-	chr1:6245082-6246876	6246478	0.43	0.31	0.24	0.23	0.40	0.33	0.44	0.35	0.39	0.23	0.41	0.39	0.37	0.46	0.53	0.40	0.44	0.23	0.40	0.29	0.31
NM_175066|DDX51|chr12|-	chr12:132621129-132623843	132623499	0.55	0.31	0.42	0.31	0.40	0.66	NA	0.44	NA	0.45	0.57	0.63	0.39	0.36	0.70	0.41	0.35	0.31	0.58	0.37	0.26
NM_139062|CSNK1D|chr17|-	chr17:80200045-80202707	80202333	0.68	0.46	0.31	0.69	0.38	0.63	0.39	0.46	0.59	0.35	0.63	0.82	0.49	0.41	0.84	0.57	0.69	0.55	0.67	0.50	0.52
NM_145333|MAP3K7|chr6|-	chr6:91223288-91226400	91225525	0.54	0.30	0.33	NA	0.46	0.33	0.35	0.35	NA	0.54	0.36	0.27	0.41	0.40	0.51	0.46	0.40	0.38	0.36	0.31	0.34
NM_022731|NUCKS1|chr1|-	chr1:205682171-205687607	205687389	0.47	0.34	0.19	0.04	0.34	0.41	0.50	0.40	0.80	0.20	0.37	0.33	0.32	0.52	0.46	0.46	0.35	0.22	0.44	0.45	0.24
