event_id	loci	Proximal_Site	TCGA-38-4627-01A-01R-1206-07	TCGA-49-4512-01A-21R-1858-07	TCGA-55-6983-01A-11R-1949-07	TCGA-55-6978-01A-11R-1949-07	TCGA-73-4676-01A-01R-1755-07	TCGA-91-6828-01A-11R-1858-07	TCGA-44-2655-01A-01R-0946-07	TCGA-44-2657-01A-01R-1107-07	TCGA-50-5933-01A-11R-1755-07	TCGA-55-6984-01A-11R-1949-07	TCGA-91-6829-01A-21R-1858-07	TCGA-44-2668-01A-01R-A278-07	TCGA-44-2668-01B-02R-A277-07	TCGA-44-2668-01A-01R-0946-07	TCGA-44-6777-01A-11R-1858-07	TCGA-91-6831-01A-11R-1858-07	TCGA-50-5932-01A-11R-1755-07	TCGA-49-6744-01A-11R-1858-07	TCGA-50-5931-01A-11R-1755-07	TCGA-44-2662-01B-02R-A277-07	TCGA-44-2662-01A-01R-A278-07	TCGA-44-2662-01A-01R-0946-07	TCGA-44-6778-01A-11R-1858-07	TCGA-38-4632-01A-01R-1755-07	TCGA-44-6146-01A-11R-1755-07	TCGA-44-6146-01A-11R-A278-07	TCGA-44-6146-01B-04R-A277-07	TCGA-44-3396-01A-01R-1206-07	TCGA-50-6595-01A-12R-1858-07	TCGA-55-6979-01A-11R-1949-07	TCGA-55-6975-01A-11R-1949-07	TCGA-44-2661-01A-01R-1107-07	TCGA-50-5935-01A-11R-1755-07	TCGA-55-6986-01A-11R-1949-07	TCGA-38-4625-01A-01R-1206-07	TCGA-49-6742-01A-11R-1858-07	TCGA-44-5645-01B-04R-A277-07	TCGA-44-5645-01A-01R-A278-07	TCGA-44-5645-01A-01R-1628-07	TCGA-44-6148-01A-11R-1755-07	TCGA-91-6849-01A-11R-1949-07	TCGA-49-6743-01A-11R-1858-07	TCGA-44-2665-01A-01R-0946-07	TCGA-44-2665-01B-06R-A277-07	TCGA-44-2665-01A-01R-A278-07	TCGA-50-5939-01A-11R-1628-07	TCGA-55-6969-01A-11R-1949-07	TCGA-55-6980-01A-11R-1949-07	TCGA-49-6745-01A-11R-1858-07	TCGA-49-6761-01A-31R-1949-07	TCGA-55-6981-01A-11R-1949-07	TCGA-44-6145-01A-11R-1755-07	TCGA-55-6971-01A-11R-1949-07	TCGA-44-6776-01A-11R-1858-07	TCGA-50-5930-01A-11R-1755-07	TCGA-91-6847-01A-11R-1949-07	TCGA-49-4490-01A-21R-1858-07	TCGA-44-6147-01A-11R-1755-07	TCGA-44-6147-01B-06R-A277-07	TCGA-44-6147-01A-11R-A278-07	TCGA-55-6985-01A-11R-1949-07	TCGA-55-6982-01A-11R-1949-07	TCGA-55-6968-01A-11R-1949-07	TCGA-91-6835-01A-11R-1858-07	TCGA-55-6970-01A-11R-1949-07	TCGA-55-6972-01A-11R-1949-07	TCGA-50-5936-01A-11R-1628-07	TCGA-91-6836-01A-21R-1858-07	TCGA-38-4626-01A-01R-1206-07
NM_001688|ATP5F1|chr1|+	chr1:112003538-112004087	112003777	0.52	0.65	0.61	0.58	0.51	0.50	0.51	0.53	0.52	0.58	0.52	0.59	0.75	0.58	0.55	0.53	0.53	0.54	0.51	0.82	0.55	0.46	0.54	0.50	0.60	0.61	0.87	0.54	0.57	0.60	0.59	0.55	0.56	0.59	0.53	0.57	0.84	0.51	0.52	0.55	0.63	0.52	0.45	NA	0.58	0.53	0.60	0.59	0.48	0.62	0.55	0.53	0.59	0.51	0.50	0.59	0.67	0.55	NA	0.58	0.59	0.59	0.63	0.53	0.59	0.64	0.54	0.55	0.56
NM_001199834|VCAM1|chr1|+	chr1:101203678-101204825	101204059	0.61	0.94	0.76	0.71	NA	0.41	0.66	0.67	0.55	NA	0.56	NA	NA	0.54	0.60	0.65	NA	0.68	NA	NA	0.52	0.45	0.54	0.57	NA	NA	NA	0.48	0.74	0.77	0.78	0.69	0.86	NA	0.61	NA	NA	0.47	0.58	0.79	0.79	0.54	0.45	NA	0.55	0.65	0.81	0.73	0.68	0.87	0.78	0.68	0.58	NA	0.61	NA	0.91	0.73	NA	NA	0.81	0.86	0.83	0.50	0.54	NA	0.51	NA	0.60
NM_025106|SPSB1|chr1|+	chr1:9427506-9429595	9428644	0.78	1.00	0.89	0.86	0.88	0.81	0.89	0.85	0.92	NA	0.78	NA	NA	0.71	0.83	0.88	0.76	0.84	0.84	NA	0.56	0.85	NA	0.85	NA	NA	NA	0.80	0.83	0.90	0.93	0.92	0.92	0.86	0.86	1.00	NA	0.63	0.93	0.83	0.90	0.74	0.89	NA	NA	0.79	0.96	0.92	0.81	0.91	0.72	0.94	0.76	0.97	0.88	0.96	0.96	0.81	NA	0.68	0.87	0.82	0.83	0.73	0.84	0.91	0.80	0.74	0.81
NM_024602|HECTD3|chr1|-	chr1:45468186-45469248	45469098	1.00	0.98	1.00	1.00	0.94	0.88	0.98	0.92	0.92	1.00	0.97	NA	NA	0.96	0.98	0.94	0.96	0.94	0.99	NA	NA	0.96	0.90	0.99	0.89	NA	NA	0.94	0.98	0.98	0.98	0.99	0.99	1.00	0.96	1.00	NA	NA	0.98	0.95	0.98	0.97	1.00	NA	NA	0.93	1.00	0.98	0.94	0.97	0.96	0.95	1.00	0.97	1.00	0.99	0.99	0.93	NA	NA	0.96	0.97	0.99	1.00	1.00	0.96	0.91	1.00	0.96
NM_005426|TP53BP2|chr1|-	chr1:223966887-223968596	223967833	0.04	0.05	0.05	0.05	0.05	0.04	0.04	0.06	0.02	0.05	0.03	0.06	0.23	0.05	0.03	0.04	0.04	0.04	0.04	0.25	0.07	0.03	0.03	0.04	0.03	NA	NA	0.05	0.04	0.04	0.03	0.06	0.04	0.04	0.06	0.05	NA	NA	0.05	0.06	0.06	0.04	0.05	NA	0.15	0.03	0.05	0.03	0.03	0.05	0.02	0.03	0.04	0.05	0.04	0.05	0.07	0.05	NA	0.08	0.05	0.05	0.04	0.03	0.04	0.05	0.04	0.06	0.04
NM_012414|RAB3GAP2|chr1|-	chr1:220321531-220324748	220324598	0.73	NA	0.79	0.75	0.77	0.74	0.66	0.68	0.60	0.72	0.65	NA	NA	0.56	0.60	0.70	0.70	0.77	0.74	NA	0.43	0.60	0.70	0.57	0.68	NA	NA	0.61	0.68	0.71	0.69	0.76	0.72	0.74	0.60	NA	NA	0.53	0.73	0.66	0.65	0.56	0.63	NA	0.32	0.71	0.76	0.73	0.76	NA	0.79	0.75	0.62	0.73	0.61	0.78	NA	0.63	NA	0.53	0.74	0.72	0.77	0.62	0.69	0.75	0.65	0.68	0.70
NM_006468|POLR3C|chr1|-	chr1:145590639-145592771	145592621	0.09	0.10	0.17	0.13	0.22	0.19	0.12	0.18	0.20	NA	0.19	NA	NA	0.17	0.18	0.12	0.23	0.15	0.16	NA	NA	0.21	0.28	0.12	0.18	NA	NA	0.23	0.09	0.15	0.19	0.11	0.15	0.21	0.14	0.18	NA	0.19	0.21	0.16	0.20	0.15	0.16	NA	0.07	0.19	0.13	0.14	0.23	0.10	0.15	0.17	0.16	0.19	0.16	0.12	0.09	0.11	NA	0.11	0.12	0.16	0.23	0.20	0.24	0.14	0.23	0.15	0.19
NM_016620|ZNF644|chr1|-	chr1:91380314-91382547	91380965	0.11	NA	0.22	0.14	0.20	0.11	0.15	0.20	0.13	0.28	0.09	NA	NA	0.13	0.17	0.12	0.12	0.12	0.12	NA	0.11	0.08	0.06	0.24	0.09	NA	0.55	0.16	0.14	0.20	0.13	0.26	0.15	0.17	0.15	0.15	NA	0.10	0.11	0.17	0.20	0.06	0.06	NA	0.10	0.08	0.21	0.20	0.07	0.21	0.13	0.07	0.17	0.18	0.10	0.17	0.33	0.15	NA	0.16	0.09	0.21	0.14	0.09	0.07	0.34	0.09	0.09	0.14
NM_001193571|CSRP1|chr1|-	chr1:201452655-201453917	201453437	0.98	1.00	1.00	0.99	0.98	0.96	1.00	0.99	0.99	1.00	0.97	0.85	0.95	0.98	0.96	0.98	0.97	1.00	1.00	NA	0.85	0.97	0.97	0.99	0.94	0.92	0.90	0.99	1.00	1.00	1.00	0.98	1.00	1.00	0.98	1.00	0.98	0.84	0.99	0.99	1.00	0.97	0.98	NA	0.81	0.99	1.00	1.00	0.97	1.00	0.99	0.99	0.99	1.00	0.99	1.00	1.00	0.98	0.85	0.76	1.00	1.00	0.99	0.95	0.98	1.00	0.97	0.99	0.99
NM_005999|TSNAX|chr1|+	chr1:231700273-231702338	231700639	0.60	NA	0.87	0.70	0.67	0.59	0.67	0.72	0.66	0.77	0.59	0.48	NA	0.56	0.65	0.65	0.58	0.61	0.65	NA	0.42	0.40	0.55	0.69	0.54	0.54	NA	0.59	0.59	0.88	0.79	0.70	0.76	0.84	0.67	0.82	NA	0.49	0.62	0.58	0.90	0.54	0.49	NA	0.67	0.73	0.89	0.86	0.58	0.83	0.87	0.63	0.64	0.73	0.70	0.81	0.96	0.57	NA	0.43	0.79	0.80	0.83	0.48	0.67	0.91	0.52	0.65	0.60
